"Add Minimum Qty","Aggiungi qtà minima"
"Allow Qty Below 0","Consenti qtà inferiori a 0"
"Allow Qty Below 0 and Notify Customer","Consenti qtà inferiori a 0 e notifica al cliente"
"Automatically Return Credit Memo Item to Stock","Restituisci automaticamente la nota di credito elemento all'inventario"
"Backorders","Inevasi"
"By Fixed value","Di un valore fisso"
"By Percentage","In percentuale"
"Catalog Inventory","Inventario catalogo"
"Decrease Stock When Order is Placed","Diminuisci l'inventario quando l'ordine viene eseguito"
"Display Out of Stock Products","Mostra i prodotti non disponibili"
"Enable Qty Increments","Abilita incrementi qtà"
"In Stock","Disponibile"
"Inventory","Inventario"
"Inventory API","Inventario API"
"Manage Stock","Gestisci scorte"
"Maximum Qty Allowed in Shopping Cart","Qtà massima consentita nel carrello"
"Minimum Qty","Qtà minima"
"Minimum Qty Allowed in Shopping Cart","Qtà minima consentita nel carrello"
"No Backorders","Nessun ordine inevaso"
"Notify for Quantity Below","Notifica per quantità inferiore"
"Only X left Threshold","Solo X rimasti alla soglia"
"Out of Stock","Non Disponibile"
"Product Name","Nome prodotto"
"Product Stock Options","Opzioni inventario prodotto"
"Products will still be shown by direct product URLs.","I prodotti verranno comunque mostrati da URL prodotto diretti."
"Qty","Qtà"
"Qty Increments","Incrementi qtà"
"Retrieve stock data","Recuperare dati scorte"
"Retrieve stock data by product ids","Recuperari dati scorte dagli id prodotti"
"Rule price","Regola prezzo"
"Set Items' Status to be In Stock When Order is Cancelled","Imposta lo status degli elementi in disponibile quando l'ordine è cancellato"
"Stock Options","Opzioni inventario"
"Stock Status","Status inventario"
"The maximum quantity allowed for purchase is %s.","La quantità massima permessa per l'acquisto è %s."
"The minimum quantity allowed for purchase is %s.","La quantità minima permessa per l'acquisto è %s."
"The requested quantity for ""%s"" is not available.","La quantità richiesta di ""%s"" non è disponibile."
"The stock item for Product in option is not valid.","L'elemento inventario dell'opzione prodotto non è valido."
"This product is currently out of stock.","Questo prodotto è attualmente non disponibile."
"To Fixed Value","A valore fisso"
"To Percentage","In percentuale"
"Update","Aggiorna"
"Update product stock data","Aggiorna dati scorta prodotto"
"Update the Product","Aggiornamento del prodotto"
