"1 star","1 ดาว"
"2 stars","2 ดาว"
"3 stars","3 ดาว"
"4 stars","4 ดาว"
"5 stars","5 ดาว"
"Add New Rating","เพิ่มการให้คะแนนใหม่"
"Assigned Options","ตัวเลือกที่กำหนด"
"Be the first to review this product","เป็นคนแรกที่รีวิวสินค้านี้"
"Default Value","ค่าพื้นฐาน"
"Delete Rating","ลบการให้คะแนน"
"Edit Rating","แก้ไขการให้คะแนน"
"ID","ไอดี"
"If you do not specify a rating title for a store, the default value will be used.","ถ้าคุณไม่เลือกหัวข้อการให้คะแนนสำหรับร้าน ร้านค้าจะใช้ค่าเริ่มต้น"
"Manage Ratings","จัดการการให้คะแนน"
"New Rating","การให้คะแนนใหม่"
"Option Label","ตัวเลือก Label"
"Option Title","ชื่อตัวเลือก"
"Option Title:","ตัวเลือกหัวข้อ:"
"Please select one of each ratings above","กรุณาเลือกหนึ่งในการให้คะแนนด้านบน"
"Rating Information","ข้อมูลการให้คะแนน"
"Rating Name","ชื่อการให้คะแนน"
"Rating Options","ตัวเลือกการให้คะแนน"
"Rating Title","หัวข้อการให้คะแนน"
"Rating Visibility","การมองเห็นการให้คะแนน"
"Rating isn't Available","ไม่มีการให้คะแนน"
"Rating with the same title","การให้คะแนนด้วย หัวข้อเดียวกัน"
"Save Rating","บันทึกการให้คะแนน"
"Sort Order","การเรียงลำดับ"
"Visible In","สามารถเห็นได้ใน"
