"""%s"" contains not only digit characters.","""%s"" nu conține numai caractere cifră."
"""%s"" does not fit the entered date format.","""%s"" nu se potrivește cu formatul de dată introdus."
"""%s"" exceeds the allowed file size.","""%s"" depășește dimensiunea permisă pentru fișiere."
"""%s"" exceeds the allowed length.","""%s"" depășește lungimea permisă."
"""%s"" has not only alphabetic and digit characters.","""%s"" nu conține numai caractere alfabetice și cifre."
"""%s"" has not only alphabetic characters.","""%s"" nu conține numai caractere alfabetice."
"""%s"" height exceeds allowed value of %s px.","Înălțimea ""%s"" depășește valoarea permisă de %s px."
"""%s"" invalid type entered.","Tipul introdus ""%s"" este invalid."
"""%s"" is a required value.","""%s"" e valoare obligatorie."
"""%s"" is an empty string.","""%s"" e un string gol."
"""%s"" is not a valid URL.","""%s"" nu e un URL valid."
"""%s"" is not a valid date.","""%s"" nu e o dată validă."
"""%s"" is not a valid email address.","""%s"" nu e o adresă e-mail validă."
"""%s"" is not a valid file","""%s"" nu e un fișier valid"
"""%s"" is not a valid file extension.","""%s"" nu e o extensie fișier validă."
"""%s"" is not a valid file.","""%s"" nu e un fișier valid."
"""%s"" is not a valid hostname.","""%s"" nu e un nume gazdă valid."
"""%s"" is not a valid image format","""%s"" nu e un format imagine valid"
"""%s"" length must be equal or greater than %s characters.","Lungimea ""%s"" trebuie să fie mai mare sau egală cu %s caractere."
"""%s"" length must be equal or less than %s characters.","Lungimea ""%s"" trebuie să fie mai mică sau egală cu %s caractere."
"""%s"" width exceeds allowed value of %s px.","Lățimea ""%s"" depășește valoarea permisă de %s px."
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' pare să fie un nume gazdă DNS dar nu se poate extrage partea TLD"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' pare să fie un nume gazdă DNS dar nu se poate potrivi TLD cu lista cunoscută"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' pare să fie un nume gazdă DNS dar nu se poate potrivi cu schema nume gazdă pentru TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' pare să fie un nume gazdă DNS dar conține o liniuță într-o poziție invalidă"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' pare să fie un nume gazdă DNS dar notația punycode dată nu poate fi decodată"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' pare să fie un nume de rețea locală dar numele de rețele locale sunt permise"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' pare să fie o adresă IP, dar adresele IP nu sunt permise"
"'%value%' does not appear to be a valid URI hostname","'%value%' nu pare să fie un URI nume gazdă valid"
"'%value%' does not appear to be a valid local network name","'%value%' nu pare să fie un nume valid de rețea locală"
"'%value%' does not match the expected structure for a DNS hostname","'%value%' nu se potrivește cu structura așteptată pentru un nume gazdă DNS"
"A joint field with this alias (%s) is already declared","Un câmp cuplat cu acest alias (%s) e deja declarat"
"Add Option","Adăugați opțiune"
"An error occurred while loading a record, aborting. Error: %s","Eroare apărută la încărcarea unei înregistrări, oprire. Eroare: %s"
"An error occurred while loading the collection, aborting. Error: %s","Eroare apărută la încărcarea colecției, oprire. Eroare: %s"
"An error occurred while saving a record, aborting. Error: ","Eroare apărută la salvarea înregistrării, oprire. Eroare: "
"Attempt to add an invalid object","Încercare de adăugare a unui obiect invalid"
"Attribute '%s' used in configurable products","Atributul '%s' e utilizat în produse configurabile"
"Attribute Code","Cod atribut nevalid"
"Attribute Label","Etichetă atribut"
"Attribute Properties","Proprietăți atribut"
"Attribute object is undefined","Obiect atribut nedefinit"
"Attribute set with the ""%s"" name already exists.","Setul de atribute cu numele ""%s"" există deja."
"Attribute with the same code","Atribut cu același cod"
"Catalog Input Type for Store Owner","Tip input catalog pentru proprietarul magazinului"
"Current module EAV entity is undefined","Entitate EAV modul curent nedefinită"
"Current module pathname is undefined","Nume cale modul curent nedefinit"
"Data integrity: No header row found for attribute","Integritate date: Rând antet negăsit pentru acest atribut"
"Date","Data"
"Decimal Number","Numar zecimal"
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Opțiunea Sortează după din Listă produs implicită nu există în Opțiunea Sortează după din Listă produs disponibil."
"Default Value","Valoare implicită"
"Default option value is not defined","Valoare opțiune implicită nedefinită"
"Delete","șterge"
"Email","E-mail"
"Entity collection expected.","Colecție entități așteptată."
"Entity collections expected.","Colecții entități așteptate."
"Entity instance is not defined","Instanță entitate nedefinită"
"Entity is not initialized","Entitate nu este inițializată"
"Entity object is undefined","Obiect entitate nedefinit"
"Failed to load node %s from config","Eșec la încărcarea nodului %s din configurație"
"Form Element with the same attribute","Element formular cu același atribut"
"Form Fieldset with the same code","Câmpuri formular cu același cod"
"Form Type with the same code","Tip formular cu același cod"
"Form code is not defined","Cod formular nedefinit"
"Frontend label is not defined","Etichetă interfață nedefinită"
"Input Validation for Store Owner","Validare input pentru proprietarul de magazin"
"Integer Number","Număr întreg"
"Invalid EAV attribute.","Atribut EAV invalid."
"Invalid alias, already exists in joint attributes","Alias nevalid, există deja în atributele comune"
"Invalid attribute name: %s","Nume invalid atribut: %s"
"Invalid attribute requested: %s","Atribut invalid solicitat: %s"
"Invalid attribute type","Tip invalid atribut"
"Invalid character encountered in increment ID: %s","Caracter invalid întâlnit în ID-ul de incrementare: %s"
"Invalid date","Dată nevalidă"
"Invalid default date","Dată implicită invalidă"
"Invalid default decimal value","Valoare zecimală implicită invalidă"
"Invalid entity specified","Entitate specificată invalidă"
"Invalid entity supplied.","Entitate furnizată invalidă."
"Invalid entity supplied: %s","Entitate furnizată invalidă: %s"
"Invalid entity type","Tip invalid entitate"
