"Add Option","添加选项"
"Attempt to add an invalid object","试图添加一个无效对象"
"Attribute Code","属性代码"
"Attribute Label","属性标签"
"Attribute Properties","属性设置"
"Attribute object is undefined","未定义的属性对象"
"Attribute with the same code","使用相同的代码属性"
"Catalog Input Type for Store Owner","店主的目录输入类型"
"Data integrity: No header row found for attribute","数据完整性：未找到属性的标题行"
"Date","日期"
"Decimal Number","十进制数"
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","默认的产品列表排序并不存在于可用的产品清单排序中。"
"Default Value","默认值"
"Default option value is not defined","缺省选项值未定义"
"Delete","删除"
"Dropdown","下拉"
"Email","邮箱"
"Entity is not initialized","实体是未初始化"
"Entity object is undefined","是未定义的实体对象"
"Form Element with the same attribute","具有相同的属性表单元素"
"Form Fieldset with the same code","表单字段使用相同的代码"
"Form Type with the same code","使用相同的代码的表单类型"
"Frontend label is not defined","前台标签未定义"
"Input Validation for Store Owner","输入商店所有者的验证信息"
"Integer Number","整数"
"Invalid alias, already exists in joint attributes","无效的别名，已经存在于联合属性"
"Invalid attribute name: %s","无效属性名：%s"
"Invalid attribute requested: %s","无效属性请求：%s"
"Invalid attribute type","无效属性类型"
"Invalid character encountered in increment ID: %s","增量ID里有无效的字符： %s"
"Invalid date","无效的日期"
"Invalid entity specified","指定的实体无效。"
"Invalid entity supplied: %s","提供的实体不正确: %s"
"Invalid entity type","无效实体类型"
"Invalid entity_type specified: %s","指定的entity_type无效： %s"
"Invalid foreign key","无效外键"
"Invalid joint fields","无效的联合字段"
"Invalid store specified","错误的指定商店"
"Joined field with this alias is already declared","该别名的联合字段已声明"
"Joint field or attribute expression with this alias is already declared","已经声明了使用该别名的联合字段或属性表达式"
"Letters","字母"
"Letters (a-z, A-Z) or Numbers (0-9)","字母 (a 到 z、 A 到 Z) 或数字 (0-9)"
"Loaded %d records","%d记录已加载。"
"Multiple Select","多选"
"No","否"
"No options found in config node %s","配置节点%s下未找到选项"
"None","无"
"Not shared with other products","没有与其它商品共享"
"Problem loading the collection, aborting. Error: %s","加载时出现错误，终止中。错误信息：%s"
"Problem saving the collection, aborting. Error: %s","保存组合时出错，退出。错误：%s"
"Required","必填"
"System","系统"
"Text Area","文本区域"
"Text Field","文本区"
"URL","网址"
"Unique Value","独特价值"
"Unique Value (not shared with other products)","(不能与其他产品共享) 的独特价值"
"Unknown parameter","未知参数"
"Values Required","必须设定任务名"
"Wrong attribute group ID","属性组编号错误"
"Wrong attribute set ID","属性组合编号错误"
"Wrong entity ID","实体编号错误"
"Yes","是"
"Yes/No","URL"
