"Action","Дія"
"Add","Додати"
"Add New Tag","Додати новий тег"
"Add Tags","Додати теги"
"Add Your Tags:","Додати Ваші теги:"
"Add to Cart","Додати в кошик"
"Add to Wishlist","Додати до списку бажань"
"All Tags","Всі теги"
"Approved","Підтверджено"
"Are you sure you want to delete this tag?","Ви впевнені, що бажаєте видалити цей тег?"
"Are you sure you want to do this?","Ви справді бажаєте це зробити?"
"Are you sure?","Ви впевнені?"
"Back","Назад"
"Back to Tags List","Повернутись до списку тегів"
"Block Information","Інформація про блок"
"Change status","Змінити стан"
"Click on a tag to view your corresponding products.","Клікніть на тегу, щоб побачити Ваші пов'язані товари."
"Country","Країна"
"Customer Since","Є клієнтом з"
"Customers","Покупці"
"Customers Tagged '%s'","Відзначено клієнтами як '%s'"
"Delete","Видалити"
"Delete Tag","Видалити тег"
"Disabled","Вимкнено"
"Edit Tag '%s'","Редагувати тег '%s'"
"Email","Електронна пошта"
"First Name","Ім'я"
"General Information","Загальна інформація"
"Grid","Таблиця"
"ID","Ідентифікатор"
"Last Name","Прізвище"
"List","Список"
"My Recent Tags","Мої нещодавні теги"
"My Tags","Мої теги"
"Name","Назва"
"New Tag","Новий тег"
"No matches found.","Нічого не знайдено."
"Other people marked this product with these tags:","Інші користувачі позначили цей товар такими тегами:"
"Pending","В очікуванні"
"Pending Tags","Теги в очікуванні"
"Popular","Популярні"
"Popular Tags","Популярні теги"
"Price","Ціна"
"Product Name","Назва товару"
"Product SKU","Обліковий номер товару"
"Product Tags","Теги товару"
"Products","Товари"
"Products Tagged with '%s'","Товари позначені як '%s'"
"Products tagged with '%s'","Товари позначені як '%s'"
"Remove","Вилучити"
"SKU","Артикул"
"Save Tag","Зберегти тег"
"Save and Continue Edit","Зберегти та Продовжити Редагування"
"Status","Статус"
"Store View","Вид Магазину"
"Tag","Тег"
"Tag Name","Назва тегу"
"Tags","Мітки"
"Tags:","Теги:"
"Telephone","Телефон"
"Unable to find any products tagged with '%s' in the current store","В цій групі магазинів неможливо знайти товарів, позначених тегом '%s' "
"Unable to remove tag. Please, try again later.","Неможливо видалити тег. Будь-ласка, спробуйте ще раз пізніше."
"Update","Оновити"
"Use spaces to separate tags. Use single quotes (') for phrases.","Використовуйте пробіли для розділення тегів. Для фраз використовуйте одиничні лапки (') ."
"View All Tags","Переглянути всі теги"
"View Customers","Всі клієнти"
"View Products","Переглянути товари"
"You have not tagged any products yet.","Ви не відзначенили тегом жодного продукту."
"ZIP/Post Code","Поштовий код"
