"Comment","Sylw"
"Contact Form","Ffurflen Cysylltu"
"Contact Information","Gwybodaeth Cysylltu"
"Contact Us","Cysylltwch a Ni"
"Contacts","Cyswllt"
"Email","Ebost"
"Email Options","Dewision Ebost"
"Email Sender","Anfonwr Ebost"
"Email Template","Templed Ebost"
"Enable Contact Us","Galluogi Cysylltu � Ni"
"Name","Enw"
"Send Emails To","Anfon Ebost i"
"Unable to submit your request. Please, try again later","Analluog ymostwng eich dymuniad. Triwch eto os gwelwch yn dda"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Mae eich ymholiad wedi ei ymostwng ac ymatebwn cyn gynted â phosib. Diolch am gysylltu â ni."
