"Actions","Tindakan"
"Active","Aktif"
"Add New Rule","Tambahkan Aturan Baru"
"Alphabetical","Menurut abjad"
"Alphanumeric","Alfanumerik"
"Apply","Terapkan"
"Apply To","Terapkan Untuk"
"Apply to Shipping Amount","Terapkan untuk Jumlah Pengiriman"
"Are you sure you want to delete the selected coupon(s)?","Apakah anda yakin ingin menghapus kupon(s) yang dipilih?"
"Auto","Otomatis"
"Buy X get Y free (discount amount is Y)","Beli X dapat Y gratis (jumlah diskon adalah Y)"
"By Fixed value","Dengan nilai tetap"
"By Percentage","Dengan persentase"
"Cart Attribute","Atribut Keranjang"
"Catalog","Katalog"
"Code Format","Format Kode"
"Code Length","Panjang Kode"
"Code Prefix","Awalan Kode"
"Code Suffix","Akhiran Kode"
"Conditions","Kondisi"
"Conditions combination","Ketentuan Kombinasi"
"Coupon","Kupon"
"Coupon Code","Kode Kupon"
"Coupon Qty","Qty Kupon"
"Coupon with the same code","Kopen dengan kode yang sama"
"Created On","Dibuat di"
"Customer Groups","Grup pelanggan"
"Dash Every X Characters","Mengambil setiap karakter x"
"Default Label","Label bawaan"
"Description","Deskripsi"
"Discount Amount","Jumlah Diskon"
"Edit Rule","Ubah Aturan"
"Excluding prefix, suffix and separators.","Tidak termasuk awalan, akhiran dan pemisah."
"FOUND","DITEMUKAN"
"For matching items only","Hanya untuk item yang cocok"
"For shipment with matching items","Untuk pengiriman dengan item yang cocok"
"Free Shipping","Gratis Pengiriman"
"General Information","Informasi Umum"
"Generate","Pembuatan"
"ID","Nomor"
"Inactive","Tidak aktif"
"Labels","Lebel"
"Manage Coupon Codes","Kelola Kode Kupon"
"NOT FOUND","TIDAK DITEMUKAN"
"NOT LOGGED IN","BELUM MASUK"
"New Rule","Aturan Baru"
"No","Tidak"
"No Coupon","Tidak ada Kupon"
"Number of Uses","Jumlah penggunaan"
"Numeric","Numerik"
"Payment Method","Metode pembayaran"
"Period","Periode"
"Price in cart","Harga di keranjang"
"Priority","Prioritas"
"Product attribute combination","Kombinasi atribut produk"
"Promotions","Promosi"
"Public In RSS Feed","Umum Di RSS Feed"
"Rule Information","Peraturan Informasi"
"Rule Name","Nama Aturan"
"Rule is not defined","Aturan tidak didefinisikan"
"Save and Continue Edit","Simpan dan Lanjutkan Edit"
"Shipping Country","Negara Pengiriman"
"Shipping Method","Metode Pengiriman"
"Shipping Postcode","Kode pos Pengiriman"
"Shipping Region","Wilayah Pengiriman"
"Shipping State/Province","Pengiriman Negara Bagian/Provinsi"
"Special Price","Harga Spesial"
"Specific Coupon","Kupon Tertentu"
"Status","Keadaan"
"Store View Specific Labels","Tampilkan Toko Berlabel Khusus"
"Subtotal","Total bagian"
"This rule no longer exists.","Aturan ini tidak tersedia lagi."
"Times Used","Waktu yang Digunakan"
"To Fixed Value","Ke nilai tetap"
"To Percentage","Untuk Persen"
"Total","Jumlah"
"Total Amount","Jumlah total"
"Total Weight","Total Berat"
"Update the Product","Perbarui Produk"
"Used","Dipakai"
"Uses per Coupon","Penggunaan per Kupon"
"Uses per Customer","Penggunaan per Pelanggan"
"Website","Situs web"
"Websites","Situs Web"
"Yes","Ya"
"total amount","jumlah total"
"total quantity","kuantitas total"
