"10 minutes","10 minutes"
"15 minutes","15 minutes"
"20 minutes","20 minutes"
"5 minutes","5 minutes"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Tâches programmées) - tous les temps sont en minutes"
"Daily","Quotidiennement"
"Failure History Lifetime","Durée de vie de l'historique des échecs"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Pour les URL générées lors de l'exécution de cron, assurez-vous que les URL de base sécurisées et non sécurisées sont explicitement définies."
"Generate Schedules Every","Générer les tâches programmées toutes les"
"History Cleanup Every","Nettoyer l'historique toutes les"
"Hourly","Toutes les heures"
"Minute Intervals","Intervalle en minutes"
"Missed if Not Run Within","Manqué si non exécuté dans les"
"Monthly","Mensuellement"
"Schedule Ahead for","Programmer en avance de"
"Success History Lifetime","Durée de vie de l'historique des succès"
"Unable to delete the cron task.","Impossible d'effacer la tâche cron."
"Weekly","Hebdomadairement"
