"Alert Email Sender","Meddela E-post avsändare"
"Alert subscription has been saved.","Bevakningsprenumerationen har sparats."
"Allow Alert When Product Comes Back in Stock","Tillåt meddelande när produkten är åter i lager"
"Allow Alert When Product Price Changes","Tillåt Notifieringar när produktpriserna ändras"
"Error Email Recipient","Fel E-post mottagare"
"Error Email Sender","Fel E-post avsändare"
"Error Email Template","Felmeddelande E-post-mall"
"Frequency","Frekvens"
"Price Alert Email Template","Faktura kommentar e-postmall"
"Price:","Pris:"
"Product Alerts","Produktmeddelanden"
"Product Alerts Run Settings","Kör-inställningar för produktmeddelanden"
"Product alerts Cron error","Cron fel för Produktvarningar"
"Start Time","Starttid"
"Stock Alert Email Template","Lagervarning E-post-mall"
"You will no longer receive price alerts for this product.","Du får inte längre lagermeddelanden för denna produkt."
"The product was not found.","Produkten finns inte."
"Unable to update the alert subscription.","Det gick inte att uppdatera alert prenumerationen."
"Unsubscribe from all price alerts","Avsluta notiser från alla uppdateringar"
"Unsubscribe from all stock alerts","Avsluta notiser från alla lagernivåer"
"You will no longer receive stock alerts for this product.","Du får inte längre lagermeddelanden för denna produkt."
"You will no longer receive stock alerts.","Du får inte längre lagermeddelanden för denna produkt."
