"Action","إجراء"
"Add","إضافة"
"Add to Cart","أضف لسلة التسوق"
"Add to Wishlist","إضافة إلى قائمة الأمنيات"
"Approved","وافق"
"Are you sure you want to do this?","هل أنت متأكد أنك تريد فعل ذلك؟"
"Are you sure?","هل أنت متأكد؟"
"Back","رجوع"
"Block Information","اغلاق المعلومات"
"CSV","CSV ملف"
"Change status","تغيير الحالة"
"Country","الدولة"
"Customer Since","عميل منذ"
"Customers","العملاء"
"Delete","احذف"
"Disabled","غير مفعل"
"Email","البريد الإلكتروني"
"First Name","الإسم الأول"
"General Information","معلومات عامة"
"Grid","الشبكة"
"ID","التعريف"
"Last Name","اسم العائلة"
"List","قائمة"
"Name","اسم"
"Pending","في إنتظار المُراجعة"
"Price","السعر"
"Product Name","اسم المنتج"
"Products","المنتجات"
"Remove","ازالة"
"SKU","رمز المنتج"
"Save and Continue Edit","حفظ ومواصلة التعديل"
"Status","الحاله"
"Store View","عرض المتجر"
"Tags","علامات"
"Update","تحديث"
"ZIP/Post Code","الرقم البريدي"
"[STORE VIEW]","[عرض المتجر]"
