"ALL","TẤT CẢ"
"ANY","BẤT KỲ"
"Add","Thêm"
"Apply","Áp dụng"
"Conditions Combination","Kết hợp Điều kiện"
"FALSE","SAI"
"Open Chooser","Chọn mở"
"Perform following actions","Thực hiện sau thao tác"
"Remove","Loại bỏ"
"TRUE","đúng"
"by","bởi"
"contains","bao gồm"
"does not contain","không bao gồm"
"does not contains","không bao gồm"
"equals or greater than","bằng hoặc lớn hơn"
"equals or less than","bằng hoặc ít hơn"
"for","cho"
"for greater than","cho lớn hơn"
"for or greater than","cho hoặc lớn hơn"
"found","đã tìm thấy"
"from","từ"
"greater than","lớn hơn"
"is","là"
"is not","không phải là"
"is not one of","không phải là một trong"
"is one of","là một trong"
"less than","nhỏ hơn"
"not found","không tìm thấy"
"not from","không phải từ"
"to","đến"
"was","được"
"was not","không"
