"* Select shipping method","* בחר אופן שילוח"
"2Day","יומיים"
"2nd Day Air","יום שני של דואר אוויר"
"2nd Day Air AM","AM יום שני של דואר אוויר "
"AVS Status: %s","AVS סטטוס: %s"
"Add Shipping Method","הוסף שיטת שילוח"
"Allowed Methods","שיטות מותרות"
"Amount: %s","כמות: %s"
"Auto-generated from GoogleCheckout Charge","נוצר באופן אוטומטי על ידי GoogleCheckout Charge"
"CC Partial: xxxx-%s","CC חלקי: xxxx-%s"
"CID Status: %s","CID סטאטוס: %s"
"Carrier Calculated Methods","שיטות הובלה מחושבות"
"Cart Discount","הנחת עגלת קניות"
"Checkout Image Style","סוג תמונה בצ'ק אאוט"
"Commercial","מסחרי"
"Continue Shopping URL","כתובת להמשך קנייה"
"Debug","דיבאג"
"Default Package Height (in)","חבילה - גובה ברירת מחדל (אינצ)"
"Default Package Length (in)","חבילה - אורך ברירת מחדל (אינצ)"
"Default Package Width (in)","חבילה - רוחב ברירת מחדל (אינצ)"
"Default price:","מחיר ברירת מחדל:"
"Delivery Address Category","קטגוריית כתובת מסירה"
"Disable Default Tax Tables","כבה את טבלות המס של ברירת המחדל"
"Enable","אפשר"
"Enable Carrier Calculated","אפשר חישוב הובלה"
"Enable Digital Delivery","אפשר משלוח דיגיטלי"
"Enable Flat Rate","אפשר שיעור flat"
"Enable Merchant Calculated","אפשר חישוב סוחרים"
"Enable this if your checkout request is too big and being cut off.","אפשר זאת אם בקשת הצ'ק אאוט שלך ארוכה מדי ונחתכת"
"Expiration: %s","תפוגה: %s"
"Express Mail","דואר מהיר"
"Express Saver","שומר אקספרס"
"FedEx","פדקס"
"Financial: %s -> %s","פיננסי: %s -> %s"
"First Overnight","הראשון בין לילה"
"Free Shipping","משלוח חינם"
"Fulfillment: %s -> %s","מימוש: %s -> %s"
"Google API","ממשק לגוגל"
"Google Authorization:","Google הרשאת:"
"Google Charge:","Google גביית:"
"Google Checkout","Google צ'ק אאוט"
"Google Checkout Shipping - Carrier Calculated","Google צ'ק אאוט משלוח – הובלה מחושבת"
"Google Checkout Shipping - Digital Delivery","Google צ'ק אאוט משלוח – משלוח דיגיטלי"
"Google Checkout Shipping - Flat Rate","Google צ'ק אאוט משלוח – שיעור flat"
"Google Checkout Shipping - Merchant Calculated","Google צ'ק אאוט משלוח – סוחר מחושב"
"Google Checkout: %s","Google צ'ק אאוט: %s"
"Google Order Number: %s","Google מספר הזמנה: %s"
"Google Refund:","Google החזר:"
"Google Risk Information:","Google מידע סיכון:"
"Ground","בסיס"
"Home Delivery","משלוח הביתה"
"IP Address: %s","כתובת IP: %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","אם מאופשר,תוכן עגלה יהיה חסוי לאחר לחיצה על כפתור Google  צ'ק אאוט בעגלת הקניות, וישוחזר אם יופעל קישור ""ערוך עגלת קניות"". "
"Inches","אינצים"
"Large - %s","גדול - %s"
"Latest Charge: %s","חיוב אחרון: %s"
"Latest Refund: %s","החזר אחרון: %s"
"Location","מיקום"
"Media Mail","דואר אלקטרוני למדיה"
"Medium - %s","בינוני - %s"
"Merchant ID","מספר מזהה של סוחר"
"Merchant Key","מפתח סוחר"
"Method","שיטה"
"New Order Status","סטטוס הזמנה חדשה"
"Next Day Air","זמן אוויר יום הבא"
"Next Day Air Early AM","UPS אווירי עד הבוקר שלמחרת"
"Next Day Air Saver","שומר זמן אוויר יום הבא"
"No","לא"
"Optional, leave empty for home page.","אופציונלי, השאר ריק לעמוד הבית"
"Parcel Post","שילוח קבוצתי"
"Priority Mail","דואר מועדף"
"Priority Overnight","עדיפות בין לילה"
"Rate 1 Amount","שיעור 1 כמות"
"Rate 1 Ship To Applicable Countries","שיעור 1 שלח למדינות אפשריות"
"Rate 1 Ship to Specific Countries","שיעור 1 שלח למדינות נבחרות"
"Rate 1 Title","שיעור 1 כותרת"
"Rate 2 Amount","שיעור 2 כמות"
"Rate 2 Ship To Applicable Countries","שיעור 2 שלח למדינות אפשריות"
"Rate 2 Ship to Specific Countries","שיעור 2 שלח למדינות נבחרות"
"Rate 2 Title","שיעור 2 כותרת"
"Rate 3 Amount","שיעור 3 כמות"
"Rate 3 Ship To Applicable Countries","שיעור 3 שלח למדינות אפשריות"
"Rate 3 Ship to Specific Countries","שיעור 3 שלח למדינות נבחרות"
"Rate 3 Title","שיעור 3 כותרת"
"Residential","מגורים"
"Sandbox","תיבת שליחה"
"Secure Callback URL","כתובת URL מאובטחת לחזרה"
"Small - %s","קטן - %s"
"Standard Overnight","רגיל - בן לילה"
"Title","כותרת"
"Total Charged: %s","סה""כ חוייב: %s"
"Total Refunded: %s","סה""כ הוחזר: %s"
"Transparent","שקוף"
"United Kingdom","אנגליה"
"United States","ארה""ב"
"White Background","רקע לבן"
"Yes","כן"
"You will be redirected to GoogleCheckout in a few seconds.","אתה תועבר ל Google צ'ק אאוט בעוד מספר שניות"
