"Add Minimum Qty","අවම Qty එකතු කරන්න"
"Allow Qty Below 0","0 ට අඩු Qty ඉඩ දෙන්න"
"Allow Qty Below 0 and Notify Customer","0 ට අඩු Qty ඉඩ දී පාරිභෝගිකයාට දැනුම් දෙන්න"
"Automatically Return Credit Memo Item to Stock","ණය මතක අයිතමය තොගයට ස්වයංක්‍රීයව ආපසු ලබා දෙන්න"
"Backorders","පසුපෙළ"
"By Fixed value","ස්ථාවර අගය අනුව"
"By Percentage","ප්‍රතිශතය අනුව"
"Decrease Stock When Order is Placed","ඇණවුම ලබා දුන් විට තොග අඩු කරන්න"
"Display Out of Stock Products","තොගයෙන් බැහැර නිෂ්පාදන ප්‍රදර්ශනය කරන්න"
"Enable Qty Increments","Qty වැඩිවීම් සබල කරන්න"
"In Stock","ගබඩාවේ ඇත"
"Inventory","ඉන්වෙන්ටරි"
"Manage Stock","කොටස් කළමනාකරණය කරන්න"
"Maximum Qty Allowed in Shopping Cart","සාප්පු කරත්තයේ උපරිම ප්‍රමාණයට අවසර ඇත"
"Minimum Qty","අවම Qty"
"Minimum Qty Allowed in Shopping Cart","සාප්පු කරත්තයේ අවම ප්‍රමාණයට අවසර ඇත"
"No Backorders","පිටුබලය නැත"
"Notify for Quantity Below","පහත ප්‍රමාණය සඳහා දැනුම් දෙන්න"
"Only X left Threshold","X පමණක් Threshold හැර ඇත"
"Out of Stock","තොග අවසන්"
"Product Name","නිෂ්පාදන නාමය"
"Product Stock Options","නිෂ්පාදන කොටස් විකල්ප"
"Products will still be shown by direct product URLs.","නිෂ්පාදන තවමත් සෘජු නිෂ්පාදන URL මගින් පෙන්වනු ඇත."
"Qty","ප්‍රමාණය"
"Qty Increments","Qty වර්ධක"
"Rule price","රීති මිල"
"Set Items' Status to be In Stock When Order is Cancelled","ඇණවුම අවලංගු කළ විට අයිතමවල තත්ත්වය තොගයේ තිබෙන ලෙස සකසන්න"
"Stock Options","කොටස් විකල්ප"
"Stock Status","කොටස් තත්ත්වය"
"The stock item for Product in option is not valid.","විකල්පය තුළ නිෂ්පාදන සඳහා කොටස් අයිතමය වලංගු නොවේ."
"To Fixed Value","ස්ථාවර අගයට"
"To Percentage","ප්‍රතිශතයට"
"Update","යාවත්කාලීන කරන්න"
"Update the Product","නිෂ්පාදනය යාවත්කාලීන කරන්න"
