"""Remember Me"" Default Value","""Kom ihåg mig"" standardvärdet"
"* Required Fields","* Obligatoriska fält"
"Address","Adress"
"Address Information","Adressinformation"
"Already registered?","Redan registrerad?"
"Back","Tillbaka"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Om du registrerar dig som kund hos oss, kan du handla mycket smidigare, använda dig av flera leveransadresser, granska och spåra dina beställningar och mycket mer."
"Checkout as Guest","Genomför köp som gäst"
"Checkout as a Guest or Register","Genomför köp som gäst eller registrera dig"
"City","Stad"
"Close","Stäng"
"Company","Företag"
"Confirm Password","Bekräfta lösenord"
"Continue","Fortsätt"
"Country","Land"
"Create an Account","Skapa ett konto"
"Easy access to your order history and status","Snabb åtkomst till historik och status för dina beställningar"
"Email Address","E-postadress"
"Enable ""Remember Me""","Aktivera ""Kom ihåg mig"""
"Enable Persistence","Aktivera beständighet"
"Fast and easy check out","Gå till snabbkassan"
"Forgot Your Password?","Glömt ditt lösenord?"
"Forgot your password?","Glömt ditt lösenord?"
"General Options","Allmänna inställningar"
"If you have an account with us, please log in.","Om du redan har ett konto hos oss, vänligen logga in."
"Loading next step...","Laddar nästa steg..."
"Login","Logga in"
"Login Information","Information om inloggning"
"Login or Create an Account","Logga in eller skapa ett konto"
"New Customers","Nya kunder"
"Password","Lösenord"
"Persist Shopping Cart","Persisterande"
"Persistence Lifetime (seconds)","Persistens livstid (sekunder)"
"Persistent Shopping Cart","Persisterande kundvagn"
"Personal Information","Personlig information"
"Please log in below:","Vänligen logga in nedan:"
"Please select region, state or province","Ange region eller område"
"Register","Registrera"
"Register and save time!","Registrera dig och spara tid!"
"Register to Create an Account","Registrera dig för att skapa ett konto"
"Register with us for future convenience:","Om du registrerar dig kan du handla smidigare i framtiden:"
"Registered Customers","Registrerade kunder"
"Remember Me","Kom ihåg mig"
"Save in address book","Spara i adressboken"
"Select State/Province...","Välj region..."
"Select a billing address from your address book or enter a new address.","Välj fakturasadress från adressboken eller ange en ny adress."
"Ship to different address","Leverera till annan adress"
"Ship to this address","Leverera till denna adress"
"Sign Up for Newsletter","Registrera dig för nyhetsbrev"
"State/Province","Län"
"Street Address","Gatuadress"
"Submit","Skicka"
"Telephone","Telefon"
"VAT Number","VAT-nummer"
"Welcome, %s!","Välkommen, %s!"
"What's this?","Vad är detta?"
"Zip/Postal Code","Postnummer"
