"Add","Προσθήκη"
"Add New Role","Προσθήκη νέου ρόλου"
"Address Type","Τύπος Διεύθυνσης"
"Admin","Διαχείριση"
"Allow","Να επιτρέπεται"
"Assigned","Ανατεθειμένο"
"Attribute Set","Σύνολο χαρακτηριστικών"
"Attributes","Χαρακτηριστικά"
"Automatically Return Credit Memo Item to Stock","Αυτόματη επιστροφή στοιχείου πιστωτικού υπομνήματος στο απόθεμα"
"Back","Πίσω"
"Backorders","Προπαραγγελίες"
"Base Currency","Βασικό Νόμισμα"
"Catalog","Κατάλογος"
"Category ID","ID Κατηγορίας"
"City","Πόλη"
"Company","Εταιρία"
"Country","Χώρα"
"Coupon Code","Κωδικός Κουπονιού"
"Create","Δημιουργία"
"Create Permanent Redirect for old URL","Δημιουργία Μόνιμης Ανακατευθηνσης για την παλιά διεύθυνση URL"
"Customer","Πελάτης"
"Customer Address","Διεύθυνση Πελάτη"
"Customer First Name","Όνομα πελάτη"
"Customer ID","ID Πελάτη"
"Customer Last Name","Επώνυμο πελάτη"
"Delete","Διαγραφή"
"Deny","Να Μην Επιτρέπεται"
"Discount","Έκπτωση"
"Discount Amount","Ποσό Έκπτωσης"
"Edit","Επεξεργασία"
"Edit Role","Επεξεργασία Ρόλου"
"Enable Qty Increments","Ενεργοποίηση Προσαυξήσεις Ποσ"
"Exclude","Εξαίρεση"
"File Name","Όνομα αρχείου"
"First Name","Όνομα"
"Gift Message","Mήνυμα Δώρου"
"Grand Total","Γενικό Σύνολο"
"Grand Total to Be Charged","Γενικό Σύνολο για Χρέωση"
"Group","Ομάδα"
"Guest","Επισκέπτης"
"Label","Ετικέτα"
"Last Name","Επώνυμο"
"Manage Stock","Διαχείριση Αποθεμάτων"
"Maximum Qty Allowed in Shopping Cart","Μέγιστη ποσότητα που επιτρέπεται στο καλάθι αγορών"
"Minimum Qty Allowed in Shopping Cart","Ελάχιστη ποσότητα που επιτρέπεται στο καλάθι αγορών"
"New Role","Νέος Ρόλος"
"Notify for Quantity Below","Ειδοποίηση για ποσότητα κάτω από"
"Order","Παραγγελία"
"Order Comments","Σχόλια Παραγγελίας"
"Order Date","Ημ/νία Παραγγελίας"
"Order ID","Κωδικός Παραγγελίας"
"Order Status","Κατάσταση Παραγγελίας"
"Orders","Παραγγελίες"
"Original Price","Αρχική Τιμή"
"Payment Method","Μέθοδος Πληρωμής"
"Phone Number","Αριθμός Τηλεφώνου"
"Placed from IP","Τοποθετήθηκε από IP"
"Position","Θέσης"
"Price","Τιμή"
"Product","Προϊόν"
"Product ID","ID Προϊόντος"
"Product Type","Τύπος Προϊόντος"
"Qty","Ποσότητα"
"Qty Increments","Προσαυξήσεις Ποσ."
"Qty Uses Decimals","Η Ποσ. χρησιμοποιεί δεκαδικά ψηφία"
"Role Info","Πληροφορίες Ρόλου"
"Role Information","Πληροφορίες Ρόλου"
"Role Name","Όνομα Ρόλου"
"Role Users","Ρόλος Χρηστών"
"Roles","Ρόλοι"
"SKU","Κωδικός"
"Sales","Πωλήσεις"
"Save","Αποθήκευση"
"Shipping Amount","Ποσό Μεταφορικών"
"Shipping Method","Μέθοδος Αποστολής"
"State","Κατάσταση"
"Stock Availability","Διαθεσιμότητα"
"Stock Status","Κατάσταση των αποθεμάτων"
"Store Name","Όνομα Καταστήματος"
"Subtotal","Υποσύνολο"
"System","Σύστημα"
"Tax Amount","Ποσό του φόρου"
"Tax Percent","Ποσοστό ΦΠΑ"
"Tax Rate","Φορολογικός συντελεστής"
"Total Due","Συνολική Οφειλή"
"Total Paid","Συνολικά Πληρώθηκαν"
"Total Refunded","Συνολικό ποσό Επιστροφής"
"Type","Τύπος"
"URL","Διεύθυνση URL"
"Update","Ενημέρωση"
"ZIP/Postal Code","Ταχυδρομικός κώδικας"
