"* Required Fields","* ಅಗತ್ಯವಿರುವ ವಿವರಗಳು"
"-- Please Select --","--ದಯವಿಟ್ಟು ಆರಿಸಿ--"
"Accept Payment","ಪಾವತಿ ಸ್ವೀಕರಿಸಿ"
"Account Information","ಖಾತೆಯ ಮಾಹಿತಿ"
"Action","ಕ್ರಿಯೆ"
"Actions","ಕ್ರಿಯೆಗಳು"
"Activate","ಸಕ್ರಿಯಗೊಳಿಸಿ"
"Active","ಸಕ್ರಿಯ"
"Add","ಸೇರಿಸಿ"
"Add New Address","ಹೊಸ ವಿಳಾಸವನ್ನು ಸೇರಿಸಿ"
"Add Products","ಉತ್ಪನ್ನಗಳನ್ನು ಸೇರಿಸಿ"
"Add To Order","ವ್ಯಾಪಾರಾದೇಶಕ್ಕೆ ಸೇರಿಸಿ"
"Add Tracking Number","ಟ್ರಾಕಿಂಗ್ ಸಂಖ್ಯೆಯನ್ನು ಸೇರಿಸಿ"
"Add to Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ ಸೇರಿಸಿ"
"Address","ವಿಳಾಸ"
"Agreement Information","ಒಪ್ಪಂದದ ಮಾಹಿತಿ"
"Amount","ಮೊತ್ತ"
"Apply","ಅನ್ವಯಿಸಿ"
"Apply Coupon Code","ಕೂಪನ್ ಕೋಡ್ ಅನ್ನು ಅನ್ವಯಿಸಿ"
"Are you sure you want to accept this payment?","ನೀವು ಈ ಪಾವತಿಯನ್ನು ಖಚಿತವಾಗಿ ಸ್ವೀಕರಿಸಲು ಬಯಸುವಿರಾ?"
"Are you sure you want to cancel this order?","ನೀವು ಈ ವ್ಯಾಪಾರಾದೇಶವನ್ನು ಖಚಿತವಾಗಿಯೂ ರದ್ದುಪಡಿಸಲು ಬಯಸುವಿರಾ?"
"Are you sure you want to deny this payment?","ನೀವು ಈ ಪಾವತಿಯನ್ನು ಖಚಿತವಾಗಿ ನಿರಾಕರಿಸಲು ಬಯಸುವಿರಾ?"
"Are you sure you want to do this?","ಇದನ್ನು ಮಾಡಲು ನೀವು ಖಚಿತವಾಗಿ ಬಯಸುವಿರಾ?"
"Are you sure?","ನಿಮಗೆ ಖಚಿತವೆ?"
"Authorization","ದೃಢೀಕರಣ"
"Back","ಹಿಂದೆ"
"Back to Billing Agreements","ಬಿಲ್ಲಿಂಗ್ ಒಪ್ಪಂದಗಳಿಗೆ ಹಿಂದಿರುಗಿ"
"Back to My Orders","ನನ್ನ ವ್ಯಾಪಾರಾದೇಶಗಳಿಗೆ ಹಿಂದಿರುಗಿ"
"Bestsellers","ಅತಿಹೆಚ್ಚು ಮಾರಾಟವಾಗುವ"
"Billing","ಬಿಲ್ಲಿಂಗ್"
"Billing Address","ಬಿಲ್ಲಿಂಗ್ ವಿಳಾಸ"
"Billing Agreement","ಬಿಲ್ಲಿಂಗ್ ಒಪ್ಪಂದ"
"Billing Agreement View","ಬಿಲ್ಲಿಂಗ್ ಒಪ್ಪಂದಗಳ ನೋಟ"
"Billing Agreements","ಬಿಲ್ಲಿಂಗ್ ಒಪ್ಪಂದಗಳು"
"Billing Last Name","ಬಿಲ್ಲಿಂಗ್ ಕೊನೆಯ ಹೆಸರು"
"Cancel","ರದ್ದುಪಡಿಸಿ"
"Canceled","ರದ್ದುಪಡಿಸಲಾದ"
"City","ನಗರ"
"Clear Shopping Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯನ್ನು ತೆರವುಗೊಳಿಸಿ"
"Close","ಮುಚ್ಚಿರಿ"
"Closed","ಮುಚ್ಚಿದ"
"Comma-separated.","ಕಾಮಾ-ವಿಭಜಿತ."
"Comment","ಅಭಿಪ್ರಾಯ"
"Comment Text","ಅಭಿಪ್ರಾಯ ಪಠ್ಯ"
"Comments","ಅಭಿಪ್ರಾಯಗಳು"
"Comments History","ಅಭಿಪ್ರಾಯಗಳ ಇತಿಹಾಸ"
"Company","ಸಂಸ್ಠೆ"
"Complete","ಪೂರ್ಣಗೊಂಡಿದೆ"
"Configure","ಸಂರಚಿಸಿ"
"Continue","ಮುಂದುವರೆಯಿರಿ"
"Country","ದೇಶ"
"Coupons","ಕೂಪನ್ ಗಳು"
"Create","ರಚಿಸಿ"
"Create New Customer","ಹೊಸ ಗ್ರಾಹಕರನ್ನು ರಚಿಸಿ"
"Create New Order","ಹೊಸ ವ್ಯಾಪಾರಾದೇಶವನ್ನು ರಚಿಸಿ"
"Create New Order Status","ಹೊಸ ವ್ಯಾಪಾರಾದೇಶದ ಸ್ಥಿತಿ ರಚಿಸಿ"
"Create Order","ವ್ಯಾಪಾರಾದೇಶವನ್ನು ರಚಿಸಿ"
"Create...","ರಚಿಸಿ..."
"Created At","ರಚಿಸಿದ ದಿನಾಂಕ"
"Created:","ರಚಿಸಿದೆ:"
"Customer","ಗ್ರಾಹಕರು"
"Customer Email","ಗ್ರಾಹಕರ ಮಿಂಚೆ"
"Customer Group","ಗ್ರಾಹಕರ ಗುಂಪು"
"Customer Last Name","ಗ್ರಾಹಕರ ಕೊನೆಯ ಹೆಸರು"
"Customer Name","ಗ್ರಾಹಕರ ಹೆಸರು"
"Date","ದಿನಾಂಕ"
"Default Status","ನಿಯೋಜಿತ ಸ್ಥಿತಿ"
"Delete","ಅಳಿಸಿ"
"Deny Payment","ಪಾವತಿ ನಿರಾಕರಿಸಿ"
"Description Message","ವಿವರಣೆ ಸಂದೇಶ"
"Discount","ರಿಯಾಯಿತಿ"
"Discount Amount","ರಿಯಾಯಿತಿ ಮೊತ್ತ"
"Edit","ಸಂಪಾದಿಸಿ"
"Email","ಮಿಂಚೆ"
"Email Address","ಮಿಂಚೆ ವಿಳಾಸ"
"Enable","ಸಕ್ರಿಯಗೊಳಿಸಿ"
"Enabled","ಸಕ್ರಿಯವಾಗಿದೆ"
"Excl. Tax","ತೆರಿಗೆ ರಹಿತ"
"Expired","ಕಾಲಾವಧಿ ಅಂತ್ಯಗೊಂಡಿದೆ"
"Fetch","ಹುಡುಕಿ ತೆಗೆ"
"First Name","ಮೊದಲ ಹೆಸರು"
"From","ಇಂದ"
"From:","ಇಂದ:"
"General","ಸಾಮಾನ್ಯ"
"General Information","ಸಾಮಾನ್ಯ ಮಾಹಿತಿ"
"Gift Message","ಕೊಡುಗೆ ಸಂದೇಶ"
"Gift Options","ಕೊಡುಗೆ ಆಯ್ಕೆಗಳು"
"Girth","ಸುತ್ತಳತೆ"
"Go to Home Page","ಮುಖಪುಟಕ್ಕೆ ತೆರಳಿ"
"Grand Total","ಒಟ್ಟು ಮೊತ್ತ"
"Guest","ಅತಿಥಿ"
"Height","ಎತ್ತರ"
"Home","ಮುಖಪುಟ"
"Incl. Tax","ತೆರಿಗೆ ಸಹಿತ"
"Information","ಮಾಹಿತಿ"
"Item","ವಸ್ತು"
"Items","ವಸ್ತುಗಳು"
"Key","ಕೀಲಿ"
"Last Name","ಕೊನೆಯ ಹೆಸರು"
"Length","ಉದ್ದ"
"Manage","ನಿರ್ವಹಿಸಿ"
"Message","ಸಂದೇಶ"
"Message:","ಸಂದೇಶ:"
"Minimum Amount","ಕನಿಷ್ಟ ಮೊತ್ತ"
"Minimum Order Amount","ಕನಿಷ್ಟ ವ್ಯಾಪಾರಾದೇಶದ ಮೊತ್ತ"
"Mixed","ಮಿಶ್ರ"
"Most Viewed","ಹೆಚ್ಚು ವೀಕ್ಷಿಸಿದ"
"Move to Wishlist","ಇಚ್ಛಾಪಟ್ಟಿಗೆ ಸರಿಸಿ"
"My Orders","ನನ್ನ ವ್ಯಾಪಾರಾದೇಶಗಳು"
"Name","ಹೆಸರು"
"New","ಹೊಸ"
"New Billing Agreement","ಹೊಸ ಬಿಲ್ಲಿಂಗ್ ಒಪ್ಪಂದ"
"New Order Status","ಹೊಸ ವ್ಯಾಪಾರಾದೇಶದ ಸ್ಠಿತಿ"
"New Shipment","ಹೊಸ ರವಾನೆ"
"Newsletter Subscription","ಸುದ್ದಿಪತ್ರಿಕೆ ಚಂದಾದಾರಿಕೆ"
"No","ಇಲ್ಲ"
"No Items","ಯಾವುದೇ ವಸ್ತುಗಳಿಲ್ಲ"
"No Payment Methods","ಪಾವತಿ ವಿಧಾನಗಳಿಲ್ಲ"
"No items","ಯಾವುದೇ ವಸ್ತುಗಳಿಲ್ಲ"
"No shipping information available","ಸಾಗಾಣಿಕೆ ಮಾಹಿತಿ ಲಭ್ಯವಿಲ್ಲ"
"Number","ಸಂಖ್ಯೆ"
"Number of Orders","ವ್ಯಾಪಾರಾದೇಶದ ಸಂಖ್ಯೆ"
"OK","ಓಕೆ"
"Order","ವ್ಯಾಪಾರಾದೇಶ"
"Order #","ವ್ಯಾಪಾರಾದೇಶ #"
"Order # ","ವ್ಯಾಪಾರಾದೇಶ # "
"Order Address Information","ವ್ಯಾಪಾರಾದೇಶ ವಿಳಾಸದ ಮಾಹಿತಿ"
"Order Date","ವ್ಯಾಪಾರಾದೇಶದ ದಿನಾಂಕ"
"Order Date: ","ವ್ಯಾಪಾರಾದೇಶದ ದಿನಾಂಕ: "
"Order History","ವ್ಯಾಪಾರಾದೇಶದ ಚರಿತ್ರೆ"
"Order ID","ವ್ಯಾಪಾರಾದೇಶ ID"
"Order Information","ವ್ಯಾಪಾರಾದೇಶದ ಮಾಹಿತಿ"
"Order Status","ವ್ಯಾಪಾರಾದೇಶದ ಸ್ಠಿತಿ"
"Order Statuses","ವ್ಯಾಪಾರಾದೇಶದ ಸ್ಠಿತಿಗಳು"
"Order Total","ವ್ಯಾಪಾರಾದೇಶದ ಮೊತ್ತ"
"Ordered","ವ್ಯಾಪಾರಾದೇಸಿದ"
"Orders","ವ್ಯಾಪಾರಾದೇಶಗಳು"
"Paid","ಪಾವತಿಸಿದೆ"
"Payment Information","ಪಾವತಿ ಮಾಹಿತಿ"
"Payment Method","ಪಾವತಿ ವಿಧಾನ"
"Payment Method:","ಪಾವತಿ ವಿಧಾನ:"
"Payment Review","ಪಾವತಿ ವಿಮರ್ಶೆ"
"Pending","ಬಾಕಿ ಇರುವ"
"Please enter positive number in this field.","ದಯವಿಟ್ಟು ಧನಾತ್ಮಕ ಅಂಕೆಯನ್ನು ಈ ವಲಯದಲ್ಲಿ ನಮೂದಿಸಿ."
"Price","ದರ"
"Print","ಮುದ್ರಿಸಿ"
"Print All","ಎಲ್ಲವನ್ನೂ ಮುದ್ರಿಸಿ"
"Print Order","ವ್ಯಾಪಾರಾದೇಶ ಮುದ್ರಿಸಿ"
"Print Refund","ಮರುಪಾವತಿ ಮುದ್ರಿಸಿ"
"Print Shipment","ರವಾನೆ ಮುದ್ರಿಸಿ"
"Processing","ಸಂಸ್ಕರಣೆಗೊಳ್ಳುತ್ತಿದೆ"
"Product","ಉತ್ಪನ್ನ"
"Product Name","ಉತ್ಪನ್ನದ ಹೆಸರು"
"Products","ಉತ್ಪನ್ನಗಳು"
"Qty","ಪರಿಮಾಣ"
"Qty Shipped","ರವಾನಿಸಿದ ಪರಿಮಾಣ"
"Rate","ದರ"
"Recently Compared Products","ಇತ್ತೀಚೆಗೆ ಹೋಲಿಸಿದ ಉತ್ಪನ್ನಗಳು"
"Recently Viewed","ಇತ್ತೀಚೆಗೆ ವೀಕ್ಷಿಸಿದ"
"Recently Viewed Products","ಇತ್ತೀಚೆಗೆ ವೀಕ್ಷಿಸಿದ ಉತ್ಪನ್ನಗಳು"
"Refresh","ತಾಜಾಗೊಳಿಸು"
"Refund #","ಮರುಪಾವತಿ #"
"Refunded","ಮರುಪಾವತಿಸಿದ"
"Refunds","ಮರುಪಾವತಿಗಳು"
"Related Orders","ಸಂಬಂಧಿತ ವ್ಯಾಪಾರಾದೇಶಗಳು"
"Remove","ತೆಗೆದುಹಾಕಿ"
"Remove Coupon Code","ಕೂಪನ್ ಕೋಡ್ ಅನ್ನು ತೆಗೆದುಹಾಕಿ"
"Revenue","ಆದಾಯ"
"Row Subtotal","ಸಾಲಿನ ಉಪಮೊತ್ತ"
"Row Total","ಸಾಲಿನ ಮೊತ್ತ"
"Sales","ವ್ಯಾಪಾರಗಳು"
"Sales Emails","ಮಾರಾಟ ಮಿಂಚೆಗಳು"
"Save Order Address","ವ್ಯಾಪಾರಾದೇಶದ ವಿಳಾಸ ಉಳಿಸಿ"
"Save in address book","ವಿಳಾಸಪಟ್ಟಿಯಲ್ಲಿ ಉಳಿಸಿ"
"Schedule","ನಿಗದಿ"
"Select","ಆಯ್ಕೆಮಾಡಿ"
"Select All","ಎಲ್ಲವನ್ನೂ ಆರಿಸಿ"
"Send Email","ಮಿಂಚೆ ಕಳುಹಿಸಿ"
"Send Tracking Information","ಟ್ರಾಕಿಂಗ್ ಮಾಹಿತಿಯನ್ನು ಕಳುಹಿಸಿ"
"Ship To","ಇಲ್ಲಿಗೆ ರವಾನಿಸಿ"
"Ship to:","ಇಲ್ಲಿಗೆ ರವಾನಿಸಿ:"
"Shipment","ರವಾನೆ"
"Shipment #","ರವಾನೆ #"
"Shipment Comment Email Sender","ರವಾನೆ ಅಭಿಪ್ರಾಯಗಳ ಮಿಂಚೆ ರವಾನೆದಾರರು"
"Shipment Comment Email Template","ರವಾನೆ ಅಭಿಪ್ರಾಯಗಳ ಮಿಂಚೆಯ ಮಾದರಿ"
"Shipment Comments","ರವಾನೆ ಅಭಿಪ್ರಾಯಗಳು"
"Shipment Email Sender","ರವಾನೆ ಮಿಂಚೆ ರವಾನೆದಾರರು"
"Shipment Email Template","ರವಾನೆ ಮಿಂಚೆಯ ಮಾದರಿ"
"Shipments","ರವಾನೆಗಳು"
"Shipped","ರವಾನಿಸಿದ"
"Shipping","ರವಾನೆ"
"Shipping & Handling","ಸಾಗಾಣಿಕೆ & ನಿರ್ವಹಣೆ"
"Shipping &amp; Handling","ಸಾಗಾಣಿಕೆ &amp; ನಿರ್ವಹಣೆ"
"Shipping Address","ರವಾನೆ ವಿಳಾಸ"
"Shipping Information","ರವಾನೆ ಮಾಹಿತಿ"
"Shipping Method","ಸಾಗಾಣಿಕೆ ವಿಧಾನ"
"Shipping Method:","ರವಾನೆ ವಿಧಾನ:"
"Shipping and Tracking Information","ರವಾನೆ ಮತ್ತು ಟ್ರಾಕಿಂಗ್ ಮಾಹಿತಿ"
"Shopping Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿ"
"Size","ಗಾತ್ರ"
"Some of the selected options are not currently available.","ಕೆಲವು ಆರಿಸಿದ ಆಯ್ಕೆಗಳು ಸಧ್ಯಕ್ಕೆ ಲಭ್ಯವಿಲ್ಲ."
"State/Province","ರಾಜ್ಯ"
"Status","ಸ್ಥಿತಿ"
"Status Code","ಸ್ಥಿತಿ ಸಂಕೇತ"
"Status:","ಸ್ಟೇಟಸ್:"
"Store Credit","ಮಳಿಗೆ ಕ್ರೆಡಿಟ್"
"Street Address","ಬೀದಿ ವಿಳಾಸ"
"Submit Comment","ಅಭಿಪ್ರಾಯ ಸಲ್ಲಿಸಿ"
"Submit Order","ವ್ಯಾಪಾರಾದೇಶ ಸಲ್ಲಿಸಿ"
"Submit Shipment","ರವಾನೆ ಸಲ್ಲಿಸಿ"
"Subscribe to Newsletter","ಸುದ್ದಿಪತ್ರಿಕೆಗೆ ಚಂದಾದಾರರಾಗಿ"
"Subtotal","ಉಪಮೊತ್ತ"
"Subtotal:","ಉಪಮೊತ್ತ:"
"Tax","ತೆರಿಗೆ"
"Tax Amount","ತೆರಿಗೆ ಮೊತ್ತ"
"Tax Percent","ತೆರಿಗೆ ಶತಾಂಶ"
"The payment has been accepted.","ಪಾವತಿಯನ್ನು ಸ್ವೀಕರಿಸಲಾಗಿದೆ."
"The payment has been denied.","ಪಾವತಿಯನ್ನು ನಿರಾಕರಿಸಲಾಗಿದೆ."
"There are no billing agreements yet.","ಇನ್ನೂ ಯಾವುದೇ ಬಿಲ್ಲಿಂಗ್ ಒಪ್ಪಂದಗಳಿಲ್ಲ."
"Title","ಶೀರ್ಷಿಕೆ"
"To","ಗೆ"
"To:","ಗೆ:"
"Total","ಒಟ್ಟು ಮೊತ್ತ"
"Total Shipping Charges","ಒಟ್ಟು ಸಾಗಾಣಿಕೆ ವೆಚ್ಚಗಳು"
"Total Weight","ಒಟ್ಟು ತೂಕ"
"Track this shipment","ಈ ರವಾನೆಯನ್ನು ಟ್ರಾಕ್ ಮಾಡಿ"
"Track your order","ನಿಮ್ಮ ವ್ಯಾಪಾರಾದೇಶವನ್ನು ಟ್ರಾಕ್ ಮಾಡಿ"
"Tracking Number","ಟ್ರಾಕಿಂಗ್ ಸಂಖ್ಯೆ"
"Tracking Number(s):","ಟ್ರಾಕಿಂಗ್ ಸಂಖ್ಯೆ(ಗಳು):"
"Transaction ID","ವಹಿವಾಟಿನ ID"
"Transaction Type","ವಹಿವಾಟಿನ ವಿಧ"
"Transactions","ವಹಿವಾಟುಗಳು"
"Type","ವಿಧ"
"Unknown State","ಅಜ್ಞಾತ ಸ್ಥಿತಿ"
"Unknown Status","ಅಜ್ಞಾತ ಸ್ಥಿತಿ"
"Updated At","ಪರಿಷ್ಕರಿಸಿದ ದಿನಾಂಕ"
"Updated:","ಪರಿಷ್ಕರಿಸಿದ:"
"Value","ಮೌಲ್ಯ"
"View","ನೋಟ"
"View All","ಎಲ್ಲವನ್ನೂ ವೀಕ್ಷಿಸಿ"
"View Another Order","ಇನ್ನೊಂದು ವ್ಯಾಪಾರಾದೇಶವನ್ನು ವೀಕ್ಷಿಸಿ"
