"Add","Přidat"
"Add New Role","Přidat novou roli"
"Address Type","Typ adresy"
"Allow","Povolit"
"Assigned","Přiřazeno"
"Attribute Set","Sada atributů"
"Attributes","Atributy"
"Automatically Return Credit Memo Item to Stock","Při dobropisu navýšit zásobu"
"Back","Zpět"
"Backorders","Přečerpání zásob"
"Base Currency","Základní měna"
"Catalog","Katalog"
"Category ID","ID kategorie"
"City","Město"
"Company","Společnost"
"Country","Země"
"Coupon Code","Slevový kód"
"Create","Vytvořit"
"Create Permanent Redirect for old URL","Pro starou URL vytvořit trvalé přesměrování"
"Customer","Zákazník"
"Customer Address","Adresa zákazníka"
"Customer First Name","Jméno zákazníka"
"Customer ID","ID zákazníka"
"Customer Last Name","Příjmení zákazníka"
"Delete","Smazat"
"Deny","Zakázat"
"Discount","Sleva"
"Discount Amount","Výše slevy"
"Edit","Upravit"
"Edit Role","Upravit roli"
"Email","E-mail"
"Enable Qty Increments","Zapnout násobky množství"
"Exclude","Vyloučit"
"File Name","Název souboru"
"First Name","Jméno"
"Gift Message","Darovací vzkaz"
"Grand Total","Celkový součet"
"Group","Skupina"
"Guest","Host"
"Label","Štítek"
"Last Name","Příjmení"
"Manage Stock","Sledovat zásoby"
"Maximum Qty Allowed in Shopping Cart","Maximální množství v košíku"
"Minimum Qty Allowed in Shopping Cart","Minimální množství v košíku"
"New Role","Nová role"
"Notify for Quantity Below","Avizovat při počtu menší než"
"Order","Objednávka"
"Order Comments","Komentáře objednávky"
"Order Date","Datum objednávky"
"Order ID","ID objednávky"
"Order Status","Stav objednávky"
"Orders","Objednávky"
"Original Price","Původní cena"
"Payment Method","Způsob platby"
"Phone Number","Telefonní číslo"
"Placed from IP","Objednáno z IP"
"Position","Pozice"
"Price","Cena"
"Product","Produkt"
"Product ID","ID produktu"
"Product Type","Typ produktu"
"Qty","Množství"
"Qty Increments","Násobky množství"
"Qty Uses Decimals","Množství používá desetiny"
"Role Info","Informace o roli"
"Role Information","Informace o roli"
"Role Name","Název role"
"Role Users","Uživatelé role"
"Roles","Role"
"SKU","Kód"
"Sales","Prodej"
"Save","Uložit"
"Shipping Amount","Přepravné"
"Shipping Method","Způsob dopravy"
"State","Kraj / region"
"Stock Availability","Skladová dostupnost"
"Stock Status","Stav zásob"
"Store Name","Název obchodu"
"Street","Ulice"
"Subtotal","Mezisoučet"
"System","Systém"
"Tax Amount","částka DPH"
"Tax Percent","DPH (%)"
"Tax Rate","Sazba DPH"
"Total Due","Celkem dluží"
"Total Paid","Celkem uhrazeno"
"Total Refunded","Celkem vráceno"
"Type","Typ"
"Update","Aktualizovat"
"Web Services","Webové služby"
"Web services","Webové služby"
"ZIP/Postal Code","PSČ"
