"%s - Discounts and Coupons","%s - İndirimler ve Kuponlar"
"%s RSS Feed","%s RSS Akışı"
"%s has reached a quantity of %s.","%s, %s için belirlenen adet limitini geçti."
"%s's Wishlist","%s's Takip Listesi"
"Cannot retrieve the wishlist","Takip listesi alınamadı"
"Catalog","Katalog"
"Category Feeds","Kategori Veri Akışı"
"Click for price","Fiyat için tıklayınız"
"Comment: %s<br/>","Yorum: %s<br/>"
"Coupons/Discounts","Kuponlar/İndirimler"
"Current Status: %s<br/>","Durum : %s<br/>"
"Customer Name: %s","Müşteri Adı : %s"
"Customer Order Status Notification","Müşteri Sipariş Durum Bildirimi"
"Details for %s #%s"," %s için Detaylar / #%s"
"Discount","İndirim"
"Discount (%s)","İndirim (%s)"
"Enable RSS","RSS'i Aktif et"
"Error in processing xml. %s","XML oluşturmada hata. %s"
"From:","Kimden:"
"Get Feed","Veri Akışı Al"
"Gift Message","Hediye Mesajı"
"Grand Total","Genel Toplam"
"Low Stock Products","Düşük Stoklu Ürünler"
"Message:","Mesaj:"
"Miscellaneous Feeds","Çeşitli Veri Akışları"
"New Orders","Yeni Siparişler"
"New Products","Yeni Ürünler"
"New Products from %s","%s Yeni Ürünler"
"Notified Date: %s<br/>","Bildirim Tarihi : %s<br/>"
"Order","Sipariş"
"Order # %s Notification(s)","Sipariş # %s Bildirim(ler)i"
"Order #%s created at %s","#%s Numaralı sipariş %s tarihinde oluşturuldu"
"Pending product review(s)","Bekleyen Ürün Yorumları"
"Product: ""%s"" review By: %s","Ürün : ""%s"" Yorumlayan : %s"
"Product: <a href=""%s"">%s</a> <br/>","Ürün : <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","%s tarafından etiketlenen ürünler"
"Purchased From: %s","Satıcı : %s"
"RSS Feeds","RSS Akışları"
"RSS Feeds Section","Rss Akışları Bölümü"
"Review: %s <br/>","Yorum : %s <br/>"
"Rss Config","Rss Yapılandırma"
"Shipping &amp; Handling","Teslimat &amp; Teslimalma"
"Special Products","Özel Ürünler"
"Store: %s <br/>","Mağaza : %s <br/>"
"Subtotal","Ara Toplam"
"Summary of review: %s <br/>","Yorum özeti : %s <br/>"
"Tags Products","Ürün Etiketleri"
"Tax","Vergi"
"There are no Rss Feeds","Hiç RSS akışı yok"
"To:","Kime:"
"Top Level Category","En Üst Kategori"
"Total: %s<br/>","Toplam : %s<br/>"
"Wishlist","Takip Listesi"
"click <a href=""%s"">here</a> to view the review","Yorumu görmek için <a href=""%s"">BURAYA</a> tıklayınız"
