"Add","添加"
"Add New Row","添加新行"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","字母数字、 破折号和下划线字符建议的文件名。不正确的字符替换为 _。"
"An error occurred while saving the file(s).","保存文件时出错。"
"Availability:","库存:"
"Back","返回"
"Canceled","已取消"
"Category API","目录分类 API"
"Date","日期"
"Default Link Title","默认链接标题"
"Default Maximum Number of Downloads","默认最大数量的下载"
"Default Sample Title","默认标题示例"
"Delete","删除"
"Disable Guest Checkout if Cart Contains Downloadable Items","如果禁用来宾结帐车包含可下载的项目"
"Downloadable Information","可下载的信息"
"Downloadable Product","下载商品"
"Downloadable Product Options","可下载的产品选项"
"Downloadable Product Section","可下载的产品部分"
"Edit","编辑"
"Edit item parameters","修改参数"
"Excl. Tax","不含税"
"File","文件"
"From:","从："
"Gift Message","礼品消息"
"Go to <a href=""%s"">My Downloadable Products</a>","到<a href=""%s"">我的下载商品</a>"
"Guest checkout will only work with shareable.","仅来宾结帐将可共享使用。"
"In stock","有货"
"Incl. Tax","含。税"
"Invalid download link type.","无效下载链接类型。"
"Invoiced","已出发票"
"Links can be purchased separately","可以单独购买链接"
"List","列表"
"Max. Downloads","最大值。下载"
"Message:","消息："
"Move","移动"
"My Downloadable Products","我下载的产品"
"Open Links in New Window","在新窗口中打开链接"
"Order #","订单 #"
"Order Item Status to Enable Downloads","订单项的状态，使下载"
"Order id cannot be null","订单 id 不能为空"
"Order item id cannot be null","订单项目 id 不能为空"
"Ordered","已下单"
"Out of stock","缺货"
"Pending","待付款"
"Please log in to download your product.","请登录以便下载您购买的商品。"
"Please set resource file and link type.","请设置资源文件和链接类型。"
"Please specify product link(s).","请指定产品链接。"
"Price","价格"
"Qty","数量"
"Refunded","已退款"
"Remaining Downloads","其余的下载"
"Remove","删除"
"Remove Item","删除项目"
"SKU","商品编号SKU"
"Sample","示例"
"See price before order confirmation.","确认订单前显示价格。"
"Shareable","可共享"
"Shipped","已开发票数量"
"Sorry, there was an error getting requested content. Please contact the store owner.","对不起，这里有一个错误被请求的内容。请与店主联系。"
"Sort Order","排序"
"Start Download","开始下载"
"Status","状态"
"Subtotal","小计"
"The link has expired.","链接已过期。"
"The link is not available.","链接不可用。"
"Title","标题"
"To:","至："
"Unlimited","无限"
"Update","更新"
"Use Content-Disposition","使用内容处置"
"Use Default Value","使用默认值"
"View Order","查看订单"
"What's this?","这是什么？"
"You have not purchased any downloadable products yet.","您还没有购买任何可下载的产品。"
"attachment","附件"
"download","下载"
"inline","行内"
"sample","示例"
