"(Make sure you keep it in a safe place.)","(Èuvajte na varnem mestu.)"
"After successfull installation please click the button below.","Po uspešno konèani namestitvi prosim kliknite na naslednji gumb."
"Check out our","Preglejte našo"
"Confirm Password","Ponovi Geslo"
"Connection","Povezava"
"Continue","Nadaljuj"
"Create Admin Account","Naredi administratorjev raèun"
"Database Connection","Povezava do podatkovne baze"
"Database Name","IME podatkovne baze"
"Database host","HOST podatkovne baze"
"Database user name","Uporabniško ime podatkovne baze"
"Database user password","Geslo podatkovne baze"
"Default Currency","Privzeta Valuta"
"Email Address","Email Naslov"
"Encryption Key","Šifriran kljuè"
"First Name","Ime"
"Help Us to Keep Magento Healthy","Pomagajte nam, da naredimo Magento najboljši"
"Installation","Namestitev"
"Installation Guide","Navodila za namestitev"
"Last Name","Priimek"
"Locale settings","Lokalne nastavitve"
"Login Information","Informacije vpisa"
"Password","Geslo"
"Password Confirmation","Ponovi geslo"
"Personal Information","Osebne informacije"
"Report All Bugs","Sporoèi vse Hrošèe"
"Required Fields","Potrebni podatki"
"Time Zone","Èasovni pas"
"User Name","Ime uporabnika"
"User Password","Geslo uporabnika"
"Username","Uporabniško Ime"
"You're All Set","Vse je dokonèano"
