"Alert Email Sender","Alarm Mailleri Göndericisi"
"Alert subscription has been saved.","Alarm aboneliği kaydedildi."
"Allow Alert When Product Comes Back in Stock","Ürün Stoğa Girdi Alarmına İzin Ver"
"Allow Alert When Product Price Changes","Fiyat Değişimi alarmına izin ver"
"Click here not to receive alerts for this product","Bu ürün için alarm almak istemiyorsanız BURAYA tıklayınız"
"Error Email Recipient","Hata Bildirimi E-posta Alıcısı"
"Error Email Sender","Hata Bildirimi E-posta Göndericisi"
"Error Email Template","Hata Bildirimi E-posta Şablonu"
"Frequency","Sıklık"
"Price Alert Email Template","Ürün Fiyat Alarmı E-posta Şablonu"
"Price:","Fiyat:"
"Product Alerts","Ürün Alarmları"
"Product Alerts Run Settings","Ürün Alarmları Çalıştırma Ayarları"
"Product alerts Cron error","Ürün alarmları için Zamanlama hatası"
"Product price alert","Ürün Fiyat Değişimi Alarmı"
"Product stock alert","Ürün Stok Değişimi Alarmı"
"Regular Price:","Normal Fiyat :"
"Sign up for price alert","Fiyat değişim alarmına abone ol"
"Sign up to get notified when this product is back in stock","Bu ürün stoklara girdiğinde uyarılmak için listeye eklenmelisiniz"
"Special price:","Özel Fiyat :"
"Start Time","Başlangıç Zamanı"
"Stock Alert Email Template","Ürün Stok Alarmı E-posta Şablonu"
"You will no longer receive price alerts for this product.","Bu ürün için artık fiyat değişim alarmı almayacaksınız."
"The product was not found.","Ürün bulunamadı."
"Unable to update the alert subscription.","Alarm aboneliği güncellenemiyor."
"Unsubscribe from all price alerts","Bütün fiyat değişim alarmlarını iptal et"
"Unsubscribe from all stock alerts","Bütün stok değişim alarmlarını aboneliklerini iptal et"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Bu mesajı sitemizde stok değişim alarmına abone olduğunuz için alıyorsunuz :"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Bu mesajı sitemizde fiyat değişim alarmına abone olduğunuz için alıyorsunuz :"
"You will no longer receive stock alerts for this product.","Bu ürün için artık stok değişim alarmı almayacaksınız."
"You will no longer receive stock alerts.","Artık stok alarmları mail adresinize gönderilmeyecek."
