"Add Recipient","Adicionar destinatário"
"Allow for Guests","Permitir para Convidados"
"Back","Voltar"
"Email Address","Endereço de e-mail"
"Email Address:","Endereço de e-mail:"
"Email Templates","Modelos de e-mail"
"Email to a Friend","Enviar por E-mail à um Amigo"
"Email:","E-mail:"
"Enabled","Habilitado"
"Invalid Sender Information","Informações inválidas do Remetente"
"Limit Sending By","Limite de Envio por"
"Max Products Sent in 1 Hour","Máximo de produtos enviados em 1 hora"
"Max Recipients","Adicionar Destinatários"
"Maximum %d email addresses allowed.","Máximo %d endereços de e-mail permitido."
"Message:","Mensagem:"
"Name","Nome"
"Name:","Nome:"
"Recipient:","Destinatário:"
"Remove Email","Remover e-mail"
"Select Email Template","Selecionar Template do E-mail"
"Send Email","Enviar e-mail"
"Send product to a friend","Enviar produto para um amigo"
"Sender:","Remetente:"
"Some emails were not sent.","Alguns e-mails não foram enviados."
"The link to a friend was sent.","O link foi enviado para um amigo."
