"Alert Email Sender","Remetente de E-mail de Alerta"
"Alert subscription has been saved.","A subscrição de alerta foi gravada."
"Allow Alert When Product Comes Back in Stock","Permitir Alerta Quando o Produto Regressa ao Estoque"
"Allow Alert When Product Price Changes","Mostrar Alerta Quando o Preço do Produto Alterar"
"Click here not to receive alerts for this product","Clique aqui para não receber alertas deste produto"
"Error Email Recipient","Erro no recipiente do E-mail"
"Error Email Sender","Erro no Serviço de E-mail"
"Error Email Template","Erro no template de E-mail"
"Frequency","Frequência"
"Price Alert Email Template","Template de E-mail de Alerta de Preço"
"Price:","Preço:"
"Product Alerts","Alertas de Produto"
"Product Alerts Run Settings","Definições de Execução de Alerta de Produtos"
"Product alerts Cron error","Alertas de produto Cron error"
"Product price alert","Alerta de preço do produto"
"Product stock alert","Alerta de estoque de produto"
"Regular Price:","Preço normal:"
"Sign up for price alert","Inscrever-se para alerta de preço"
"Sign up to get notified when this product is back in stock","Inscreva-se para ser notificado quando este produto voltar ao estoque"
"Special price:","Preço especial:"
"Start Time","Hora de Início"
"Stock Alert Email Template","Template de E-mail de Alerta de Estoque"
"You will no longer receive price alerts for this product.","Você não receberá mais alertas de preço para este produto."
"The product was not found.","O produto não foi encontrado."
"Unable to update the alert subscription.","Não foi possível atualizar a inscrição de alerta."
"Unsubscribe from all price alerts","Remover todas as inscrições de alertas de preço"
"Unsubscribe from all stock alerts","Remover todas as inscrições de alertas de estoque"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Você está recebendo esta notificação porque você se inscreveu para receber alertas quando os seguintes produtos voltarem ao estoque:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Você está recebendo esta notificação porque você se inscreveu para receber alertas quando os preços para os seguintes produtos forem alterados:"
"You will no longer receive stock alerts for this product.","Irá deixar de receber alertas de estoque para este produto."
"You will no longer receive stock alerts.","Irá deixar de receber alertas de estoque."
