"--Please Select--","-- נא לבחור --"
"API Login ID","מזהה הכניסה API"
"Accepted Currency","המטבע המקובל"
"Authorize.net Direct Post","פוסט ישיר של Authorize.net"
"Card Verification Number","קוד אימות לכרטיס"
"Card Verification Number Visual Reference","מדריך כיצד לאמת את מספר הכרטיס"
"Close","סגור"
"Credit Card Information","פרטי כרטיס האשראי"
"Credit Card Number","מספר כרטיס אשראי"
"Credit Card Type","סוג כרטיס אשראי"
"Credit Card Types","סוג כרטיסי אשראי"
"Credit Card Verification","אימות כרטיס האשראי"
"Debug","דיבאג"
"Email Customer","דואר אלקטרוני של לקוח"
"Enabled","פעיל"
"Expiration Date","תאריך תפוגה"
"Gateway URL","כתובת gateway"
"Maximum Order Total","סך ההזמנה המרבי"
"Merchant MD5","סוחר MD5"
"Merchant's Email","דואל אלקטרוני של הסוחר"
"Minimum Order Total","סך הזמנה מינימלי"
"New Order Status","סטטוס הזמנה חדשה"
"Order saving error: %s","שמירת הזמנה, שגיאה: %s"
"Payment Action","פעולת תשלום"
"Payment authorization error.","שגיאה באישור תשלום"
"Payment from Applicable Countries","תשלום ממדינות מאושרות"
"Payment from Specific Countries","תשלום ממדינות ספציפיות"
"Sort Order","סדר מיון"
"Test Mode","מצב בדיקה"
"There was an error processing your order. Please contact us or try again later.","ארעה שגיאה במהלך עיבוד ההזמנה. צור עמנו קשר או נסה שנית בזמן הקרוב."
"Title","כותרת"
"Transaction Key","מזהה העברה"
"What is this?","מה זה?"
