" Copy"," Копирай"
"Action","Действие"
"Add New Template","Добавяне на нов шаблон"
"Add to Queue","Добави в списък със задачи"
"Allow Guest Subscription","Позволи гости абонамент"
"Are you sure that you want to delete this template?","Сигурен ли сте, че искате да изтриете този шаблон?"
"Are you sure that you want to strip all tags?","Сигурен ли сте, че искате да премахнете всички тагове?"
"Back","Обратно"
"Cancel","Отказ"
"Cancelled","Отказан"
"Confirmation Email Sender","Потвърждение на имейл подател"
"Confirmation Email Template","Шаблон на имейл за потвърждение"
"Convert to Plain Text","Конвертиране в обикновен текст"
"Create Newsletter Template","Create Шаблон бюлетин"
"Customer","Клиент"
"Customer First Name","Първото име на клиент"
"Customer Last Name","Фамилно име на клиент"
"Date Added","Дата на добавяне"
"Date Updated","Датата е актуализирана"
"Delete","Изтрий"
"Delete Selected Problems","Изтриване на избраните проблеми"
"Delete Template","Изтриване на шаблон"
"Do you really want to cancel the queue?","Наистина ли искате да отмените опашката?"
"Edit Newsletter","Редактиране на бюлетин"
"Edit Newsletter Template","Редактирай шаблон на бюлетин"
"Edit Queue","Редактирай задачи"
"Edit Template","Редактиране на шаблон"
"Email","Имейл"
"Enter your email address","Въведете Вашия имейл адрес"
"Error Code","Код на грешка"
"Error Text","Текст на грешката"
"Guest","Гост"
"ID","ИД"
"Message","Съобщение"
"Need to Confirm","Трябва да потвърдите"
"New Newsletter Template","Нов Шаблон на бюлетин"
"New Template","Нов шаблон"
"Newsletter","Бюлетин"
"Newsletter Message Preview","Преглед на съобщения за бюлетини"
"Newsletter Problem Reports","Доклади за проблеми в бюлетина"
"Newsletter Queue","Бюлетин на изчакване"
"Newsletter Section","Секция ""бюлетин"""
"Newsletter Styles","Бюлетин стилове"
"Newsletter Subscribers","Абонати на бюлетина"
"Newsletter Subscription","Абонамент за бюлетин"
"Newsletter Subscriptions","Абонамент за бюлетин"
"Newsletter Templates","Шаблон бюлетин"
"Newsletter subscription confirmation","Потвърждение на абонамент за бюлетин"
"Newsletter subscription success","Бюлетин абонамент успех"
"Newsletter unsubscription success","Бюлетин отписване успех"
"No Templates Found","Няма намерени шаблони"
"Not Activated","Не е активиран"
"Not Sent","Не е изпратен"
"Pause","Пауза"
"Paused","Паузиран"
"Please enter a valid email address.","Моля, въведете валиден е-мейл адрес."
"Please enter new template name","Моля въведете ново име на шаблон"
"Please select subscriber(s)","Моля изберете абонати"
"Preview","преглед"
"Preview Template","Предварителен преглед на шаблон"
"Processed","Преработени"
"Queue Date Start","Начална дата на опашката"
"Queue Finish","Край на задача"
"Queue Information","Информация за опашката"
"Queue Start","Старт на опашката"
"Queue Subject","Предмет на опашката"
"Recipients","Получателите"
"Reset","Изчисти"
"Resume","Възобнови"
"Return HTML Version","Върни Html версия"
"Save As","Запази като"
"Save Newsletter","Запази Бюлетин"
"Save Template","Записване на шаблон"
"Save and Resume","Запази и прегледай"
"Security","Сигурност"
"Sender","Подател"
"Sender Email","Подател имейл"
"Sender Name","Име на подателя"
"Sending","В процес на изпращане"
"Sent","Изпратен"
"Sign Up for Our Newsletter:","Абонирай се за нашия е-бюлетин:"
"Sign up for our newsletter","Запишете се за нашия бюлетин"
"Start","Старт"
"Status","Статус"
"Store","Магазин"
"Store View","Изглед на магазина"
"Subject","Предмет"
"Submit","Изпрати"
"Subscribe","Абониране"
"Subscribed","абониран"
"Subscriber","Абонат"
"Subscribers","Абонати"
"Subscribers From","Абонати от"
"Subscription Options","Избор на бюлетини"
"Success Email Sender","Успех имейл подател"
"Success Email Template","Успех имейл шаблон"
"Template Content","Съдържание на шаблон"
"Template Information","Информация за шаблон"
"Template Name","Име на шаблона"
"Template Styles","Стил на шаблона"
"Template Subject","Шаблон тема"
"Template Type","Тип шаблон"
"There was a problem with the subscription: %s","Намерен е проблем с абонамента: %s"
"There was a problem with the un-subscription.","Намерен е проблем с анулирането на абонамента."
"Type","Тип"
"Unconfirmed","Непотвърден"
"Unsubscribe","Отписване"
"Unsubscribe Selected","Отпиши избраните"
"Unsubscribed","Отписан"
"Unsubscription Email Sender","Отписване от имейл подател"
"Unsubscription Email Template","Шаблон на имейл за отписване"
"View Newsletter","Преглед бюлетин"
"Website","Уебсайт"
