" Copy"," העתקה"
"Action","פעולה"
"Add New Template","להוסיף תבנית חדשה"
"Add to Queue","הוספה לתור"
"Allow Guest Subscription","לאפשר מינוי של אורחים"
"Are you sure that you want to delete this template?","אתה בטוח שאתה רוצה למחוק את התבנית הזאת?"
"Are you sure that you want to strip all tags?","האם אתה בטוח שברצנך להסיר את כל התגים?"
"Back","חזור"
"Cancel","ביטול"
"Cancelled","בוטל"
"Confirmation Email Sender","אישור אימייל השולח"
"Confirmation Email Template","תבנית אישור אימייל"
"Convert to Plain Text","המר לטקסט רגיל"
"Create Newsletter Template","יצירת תבנית לניוזלטר"
"Customer","לקוח"
"Customer First Name","השם הפרטי של הלקוח"
"Customer Last Name","שם המשפחה של הלקוח"
"Date Added","תאריך הוספה"
"Date Updated","תאריך עדכון/תאריך עודכן"
"Delete","מחק"
"Delete Selected Problems","מחק את הבעיות שנבחרו"
"Delete Template","למחוק תבנית"
"Do you really want to cancel the queue?","האם ברצונך לבטל את התור?"
"Edit Newsletter","עריכת ניוזלטר"
"Edit Newsletter Template","ערוך תבנית ניוזלטר"
"Edit Queue","עריכת תור"
"Edit Template","ערוך תבנית"
"Email","דואר אלקטרוני"
"Enter your email address","הזן את כתובת הדואר האלקטרוני שלך"
"Error Code","קוד שגיאה"
"Error Text","טקסט שגיאה"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","לחצו כאן להסרה מרשימת התפוצה<!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","אורח"
"ID","מזהה"
"Message","הודעה"
"Need to Confirm","נדרש אישור"
"New Newsletter Template","תבנית ניוזלטר חדשה"
"New Template","תבנית חדשה"
"Newsletter","ניוזלטר"
"Newsletter Message Preview","הודעת ניוזלטר - תצוגה מקדימה"
"Newsletter Problem Reports","ניוזלטר - דוחות תקולים"
"Newsletter Queue","ניוזלטר - תור"
"Newsletter Section","איזור ניוזלטר"
"Newsletter Subscribers","ניוזלטר - מנויים"
"Newsletter Subscription","ניוזלטר - רישום"
"Newsletter Subscriptions","ניוזלטר - רישום"
"Newsletter Templates","תבניות לניוזלטר"
"Newsletter subscription confirmation","אישור הרשימה לניוזלטר"
"Newsletter subscription success","נרשמת בהצלחה לניוזלטר"
"Newsletter unsubscription success","הוסרת בהצלחה מרשימת הניוזלטר"
"No Templates Found","אין תבניות שנמצאו"
"Not Sent","לא נשלח"
"Pause","השהה"
"Paused","נעצר"
"Please enter a valid email address.","נא להזין כתובת אימייל תקינה."
"Please enter new template name","הקלד שם תבנית חדשה"
"Please select subscriber(s)","בחר מנוי(ים)"
"Preview","תצוגה מקדימה"
"Preview Template","תצוגה מקדימה של תבנית"
"Processed","מעובד"
"Queue Date Start","תור תאריך התחלה"
"Queue Finish","סיום תור"
"Queue Information","מידע אודות תורים"
"Queue Start","תור - התחלה"
"Queue Subject","תור - נושא"
"Recipients","המקבלים"
"Reset","איפוס"
"Resume","המשך"
"Return HTML Version","החזר את גרסת Html"
"Save As","שמור בשם"
"Save Newsletter","לשמור את הניוזלטר"
"Save Template","שמירת תבנית"
"Save and Resume","שמור ושחזר"
"Security","אבטחה"
"Sender","שולח"
"Sender Email","דואר אלקטרוני של השולח"
"Sender Name","שם השולח"
"Sending","שולח"
"Sent","נשלח"
"Sign up for our newsletter","הירשם לניולטר שלנו"
"Start","התחלה"
"Status","סטטוס"
"Store","חנות"
"Store View","תצוגת חנות"
"Subject","נושא"
"Submit","שליחה"
"Subscribe","הרשמה"
"Subscribed","נרשם"
"Subscriber","מנוי"
"Subscribers","מנוים"
"Subscribers From","למנויים מ-"
"Subscription Options","אפשרויות מינוי"
"Success Email Sender","שולח דוא""ל הצלחה"
"Success Email Template","תבנית דוא""ל הצלחה"
"Template Content","תוכן התבנית"
"Template Information","מידע אודות התבנית"
"Template Name","שם תבנית"
"Template Styles","סטייל תבנית"
"Template Subject","נושא תבנית"
"Template Type","סוג התבנית"
"Thank you for your subscription.","תודה על ההרשמה."
"There was a problem with the subscription: %s","ארעה בעיה ברישום: %s"
"There was a problem with the un-subscription.","ארעה בעיה בהסרת המינוי/רישום"
"This email address is already assigned to another user.","כתובת המייל כבר תפוסה."
"Type","סוג"
"Unsubscribe","בטל מנוי/רישום"
"Unsubscribe Selected","לבטל הרשמה של המנוי שנבחר"
"Unsubscribed","לא רשום"
"Unsubscription Email Sender","ביטול רישום של שולח הדוא""ל"
"Unsubscription Email Template","הסרת רישום - תבנית אימייל"
"View Newsletter","הצג ניוזלטר"
"Website","אתר"
