"%s's Wishlist","%s's قائمة الامنيات"
"Add All to Cart","إضافة الكل إلى عربة التسوق"
"Add to Compare","اضف للمقارنة"
"Add to Wishlist","اضف الى قائمة الامنيات"
"Added From","مضاف من"
"Are you sure you want to remove this product from your wishlist?","هل أنت متأكد أنك تريد إزالة هذا المنتج من قائمة أمنياتك؟"
"Are you sure you would like to remove this item from the wishlist?","هل أنت متأكد أنك تود  إزالة هذاالمنتج من قائمة الأمنيات؟"
"Comment","تعليق"
"Days in Wishlist","الأيام في قائمة الأمنيات"
"Email Sender","مرسل الرسالة"
"Email Template","قوالب الرسالة"
"General Options","خيارات عامة"
"Go to Wishlist","الذهاب إلى قائمة الأمنيات"
"In stock","متوفربالمخزون"
"Last Added Items","أخر السلع المضافة"
"My Wishlist (%d item)","قائمة أمنياتي (%d سلعة)"
"My Wishlist (%d items)","قائمة أمنياتي (%d سلع)"
"Out of stock","غير متوفربالمخزون"
"Please, enter your comments...","من فضلك قم بإدخال تعليقاتك..."
"Remove Item","إزالة سلعة"
"Share Wishlist","مشاركة قائمة الأمنيات"
"Share Your Wishlist","مشاركة قائمة أمنياتك"
"Sharing Information","بيانات المشاركة"
"Update Wishlist","تحديث قائمة الأمنيات"
"View Details","عرض التفاصيل"
"View Product","عرض المنتج"
"Wishlist","قائمة الأمنيات"
"Wishlist Sharing","مشاركة قائمة الأمنيات"
"Wishlist is empty now.","قائمة الأمنيات فارغة الآن."
"You have no items in your wishlist.","ليس لديك أي سلع في قائمة أمنياتك."
