"* Required Fields","* 필수 항목"
"ALL GROUPS","모든 그룹 "
"Account Dashboard","계정 대시보드"
"Account Information","계정 정보"
"Account Sharing Options","계정 공유 옵션"
"Action","동작"
"Add New Address","새 주소 추가"
"Add New Customer","신규 고객 추가"
"Add New Customer Group","신규 고객 그룹 추가"
"Additional Address Entries","추가 주소 항목"
"Address","주소 "
"Address Book","주소록"
"Address Information","주소 정보 "
"Address Templates","주소 템플릿"
"Addresses","주소"
"Admin","관리자"
"All","모두"
"All Store Views","모든 스토어뷰"
"All countries","전체 국가"
"Always optional.","항상 선택사항."
"Amount","금액"
"Are you sure you want to delete this address?","정말로 주소를 삭제하겠습니까?"
"Are you sure?","확실합니까?"
"Assign a Customer Group","고객 그룹 지정"
"Average Sale","평균 판매"
"Back","이전"
"Bad request.","잘못된 요청"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","회원으로 등록하시면, 더 빠른 결제와 복수 배송지 등록, 구매 진행상황 확인하기 등 더욱 편리한 서비스를 받으실 수 있습니다."
"Cancel","취소"
"Change Billing Address","구매자 주소 변경"
"Change Password","비밀번호 변경"
"Change Shipping Address","배송 주소 변경"
"City","시/군 "
"Company","회사"
"Configure","설정"
"Confirm New Password","신규 비밀번호 확인"
"Confirm Password","비밀번호 확인"
"Confirmation Link Email","확인 링크 이메일"
"Confirmed","확인됨"
"Contact Information","연락처 정보"
"Continue Shopping","계속 쇼핑하기"
"Country","국가"
"Create New Account Options","신규 계정 생성 옵션"
"Create Order","주문 생성"
"Create an Account","회원 가입"
"Current Password","현재 비밀번호"
"Customer","고객"
"Customer Group","고객 그룹"
"Customer Groups","고객 그룹"
"Customer Information","고객 정보"
"Customer Since","가입일"
"Customer View","고객 보기"
"Customer will stay on the current page if ""No"" is selected.","""아니오""를 선택하면 고객이 로그인한 페이지에 머물게 됩니다."
"Customers","고객"
"Date","날짜"
"Date Added","추가된 날짜"
"Date of Birth","생년월일"
"Day","일"
"Default Addresses","기본 주소"
"Default Billing Address","기본 결제 주소"
"Default Group","기본 그룹"
"Default Shipping Address","기본 배송 주소"
"Default Welcome Email","기본 회원가입 환영 이메일"
"Delete","삭제"
"Delete Customer","고객 삭제"
"Delete Customer Group","고객 그룹 삭제"
"Deleted Stores","삭제된 스토어"
"Details","상세 정보"
"Disabled","비활성화"
"Edit","수정"
"Edit Account Information","계정 정보 수정"
"Edit Address","주소 편집"
"Edit Customer Groups","고객 그룹 수정"
"Edit Group","그룹 수정"
"Email","이메일 주소"
"Email Address","이메일 주소"
"Email Sender","이메일 송신자"
"Email:","이메일: "
"Enable Automatic Assignment to Customer Group","자동 고객 그룹 지정 활성화"
"Fax","팩스"
"First Name","이름"
"Forgot Email Template","이메일 분실 템플릿"
"Forgot Password","비밀번호 찾기"
"Forgot Your Password?","비밀번호를 잊으셨나요?"
"Gender","성별 "
"General Subscription","일반 뉴스레터 가입"
"Global","글로벌"
"Group","그룹"
"Group Information","그룹 정보"
"Group Name","그룹 이름"
"Guest","비회원"
"If you have an account with us, please log in.","이미 등록이 되어있으신 분은 로그인하세요."
"Invalid login or password.","이메일 또는 비밀번호가 다릅니다."
"Last Activity","마지막 활동"
"Last Date Subscribed","구독 마지막 날짜"
"Last Date Unsubscribed","구독 취소 마지막 날짜"
"Last Name","성"
"Leave empty for default (15 minutes).","빈칸으로 두면 기본값이 적용됩니다. (15분)"
"Lifetime Sales","총 판매"
"Log In","로그인"
"Login","로그인"
"Login Information","로그인 정보"
"Login Options","로그인 옵션"
"Login or Create an Account","로그인 또는 계정 만들기"
"Month","월"
"My Account","내 계정"
"My Orders","주문 내역"
"Name","이름 "
"Name and Address Options","이름과 주소 옵션"
"New Address","신규 주소"
"New Customer","신규 고객"
"New Customer Group","신규 고객 그룹"
"New Customer Groups","신규 고객 그룹"
"New Customers","신규 고객"
"New Group","신규 그룹"
"New Password","새로운 비밀번호"
"Newsletter","뉴스레터"
"Newsletter Information","뉴스레터 정보"
"Newsletter Subscription","뉴스레터 구독"
"Newsletters","뉴스레터"
"No Items Found","항목이 없습니다."
"No Newsletter Found","뉴스레터를 찾을 수 없습니다."
"No item specified.","지정된 항목이 없습니다."
"Not Sent","전송 안됨"
"Offline","오프라인"
"Online","온라인"
"Online Customers","온라인 고객"
"Online Customers Options","온라인 고객 옵션"
"Order #","주문번호"
"Order Total","주문 합계"
"Orders","주문"
"Password","비밀번호"
"Password Options","비밀번호 옵션"
"Password forgotten","잊혀진 암호"
"Password:","비밀번호: "
"Paused","일시정지"
"Pending","보류 중"
"Per Website","웹사이트당"
"Personal Information","개인 정보"
"Please enter a number 1 or greater in this field.","1이상의 숫자를 넣어주십시오."
"Please enter the city.","도시를 입력해 주십시오."
"Please enter the country.","국가 입력 하십시오."
"Please enter the first name.","이름을 입력하십시오"
"Please enter the last name.","성을 입력하십시오"
"Please enter the state/province.","시/도를 입력해 주십시오."
"Please enter the zip/postal code.","우편 번호를 입력 하십시오."
"Please enter your email.","이메일을 입력해 주십시오."
"Please make sure your passwords match.","비밀번호가 맞는지 확인해 주십시오."
"Please select region, state or province","지역을 선택하세요."
"Prefix Dropdown Options","접두사 드롭다운 옵션"
"Price","가격"
"Product","상품"
"Product Name","상품명"
"Product Reviews","상품 리뷰"
"Qty","수량"
"Recent Orders","최근 주문"
"Recovery Link Expiration Period (hours)","복구 링크 유효기간(시간)"
"Redirect Customer to Account Dashboard after Logging in","로그인 후 계정 대시보드로 이동합니다."
"Refunded","환불됨"
"Registered Customers","회원 로그인"
"Remove","삭제"
"Require Emails Confirmation","이메일 인증 필요"
"Reset a Password","비밀번호 재설정"
"Sales Statistics","세일즈 통계"
"Save","저장"
"Save Address","주소 저장"
