"1 Day Freight","الشحن بيوم واحد"
"2 Day","يومان"
"2 Day AM","يومان صباحا"
"2 Day Freight","الشحن في يومين"
"3 Day Freight","3 يوم شحن"
"3 Day Select","حدد 3 ايام"
"Access ID","معرف النفاذ"
"Account ID","معرف الحساب"
"Account Number","رقم الحساب"
"Allowed Methods","شركات الشحن المسموح بها"
"Business Service Center","مركز الخدمة التجاري"
"Calculate Handling Fee","حساب رسوم التوصيل"
"Cannot retrieve shipping rates","لا يمكن استرجاع معدلات الشحن"
"Centimeters","سنتيمتر"
"Commercial","تجاري"
"Configuration","الضبط"
"Container","حاوية"
"Customer Packaging","التعبئة والتغليف العملاء"
"DHL service is not available at %s date","لا تتوفر خدمة DHL في تاريخ %s"
"Debug","نقح"
"Depth","العمق"
"Displayed Error Message","رسالة الخطأ المعروضة"
"Documents","الوثائق"
"Drop Box","صندوق الحذف"
"Dropoff","من الحذف"
"Empty response","رد فارغ"
"Enable Negotiated Rates","اتاحة أسعار للتفاوض"
"Europe First Priority","الأولوية الأولى في أوروبا"
"Express 12:00","سريع 12:00"
"Express Saver","اعرب عن الموفر"
"Express envelope","مغلف بالشحن السريع"
"Express worldwide","إكسبريس في جميع أنحاء العالم"
"FedEx Box","FedEx صندوق"
"FedEx Envelope","FedEx ظرف"
"FedEx Tube","FedEx الانبوب"
"First Overnight","الليلى الاولى"
"First-Class Mail Large Envelope","مغلف كبير لبريد الدرجة الأولى"
"First-Class Mail Letter","رسالة بريد من الدرجة الأولى"
"First-Class Mail Postcards","رسالة بريد من الدرجة الأولى"
"Flat","مسطحة"
"Flat-Rate Envelope","غلاف ذو تسعيرة موحدة"
"Freight","الشحن"
"Freight worldwide","الشحن لجميع أنحاء العالم"
"Gateway URL","رابط البوابة"
"Gateway XML URL","بوابة XML الموقع"
"Gift","هدية"
"Girth","مقاس"
"Ground","سطح الأرض"
"Handling Applied","تم تطبيق المعاملة"
"Handling Fee","رسوم التوصيل"
"Height","الارتفاع"
"Home Delivery","التسليم بالمنزل"
"Inches","بوصة"
"International Economy","الاقتصاد الدولي"
"International First","اول عالمي"
"International Priority","اولوية دولية"
"Intl Economy Freight","Intl الاقتصاد الشحن"
"Intl Priority Freight","Intl اولوية الشحن"
"Jumbo box","صندوق كبير"
"Kilograms","كيلوجرام"
"Large","كبير"
"Letter","رسالة"
"Machinable","مفهوم من قبل الإله"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","الحد الاقصى لوزن الطرد (الشحن الخاص بك، يرجى الرجوع إلى الناقل عن الحد الأقصى للوزن الشحن)"
"National Freight","الشحن الوطنية"
"No","لا"
"No packages for request","لا يوجد حزم في الطلب"
"Non Documents","بدون وثائق"
"Non documents","بدون وثائق"
"Non-rectangular","غير مستطيل"
"None","لا شئ"
"Not Required","غير مطلوب"
"Order","طلب"
"Other","أخرى"
