"""Remember Me"" Default Value","""Jegyezzen meg"" Alapértelmezett érték"
"* Required Fields","* kitöltése kötelező"
"Address","Cím"
"Address Information","Címadatok"
"Already registered?","Már regisztrált nálunk?"
"Back","Vissza"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Ha regisztrál nálunk, a vásárlási folyamat gyorsan végrehajtható lesz, akár több kiszállítási címet is megadhat, a megrendelések nyomonkövethetőek lesznek, és még számos egyéb lehetőség vár Önre."
"Checkout as Guest","Vásárlás vendégként"
"Checkout as a Guest or Register","Vásárlás vendégként vagy regisztráció"
"City","Város"
"Close","Bezár"
"Company","Cég"
"Confirm Password","Jelszó megerősítése"
"Continue","Folytatás"
"Country","Ország"
"Create an Account","Felhasználó létrehozása"
"Easy access to your order history and status","Könnyű hozzáférés a rendelés történethez és állapothoz."
"Email Address","Email cím"
"Enable ""Remember Me""","""Emlékezz rám"" engedélyezése"
"Enable Persistence","Adatmegőrzés bekapcsolása"
"Fast and easy check out","Könnyű és gyors vásárlás"
"Fax","Faxszám"
"Forgot Your Password?","Elfelejtette jelszavát?"
"Forgot your password?","Elfelejtette a jelszavát?"
"General Options","Általános beállítások"
"If you have an account with us, please log in.","Ha már regisztrált nálunk, kérjük jelentkezzen be."
"Loading next step...","Következő lépés betöltése..."
"Login","Bejelentkezés"
"Login Information","Belépési információk"
"Login or Create an Account","Jelentkezzen be, vagy regisztráljon"
"New Customers","Új vásárlók"
"Password","Jelszó"
"Persist Shopping Cart","Kosár tartalmának megőrzése"
"Persistence Lifetime (seconds)","Adatok megőrzésének időtartama (másodperc)"
"Persistent Shopping Cart","Adatmegőrző kosár"
"Personal Information","Személyes adatok"
"Please log in below:","Itt tud bejelentkezni:"
"Please select region, state or province","Kérjük válassza ki a régiót, államot vagy megyét"
"Register","Regisztráció"
"Register and save time!","Regisztráljon és nyerjen időt!"
"Register to Create an Account","Regisztráljon és hozza létre fiókját"
"Register with us for future convenience:","Regisztráljon nálunk a további kényelemért:"
"Registered Customers","Regisztrált vásárlók"
"Remember Me","Emlékezz rám"
"Save in address book","Mentés a címjegyzékbe"
"Select State/Province...","Válassza ki a megyét"
"Select a billing address from your address book or enter a new address.","Válassza ki a számlázási címet a címjegyzékből vagy adjon meg egy újat."
"Ship to different address","Másik címre szállítás"
"Ship to this address","Szállítás erre a címre"
"Sign Up for Newsletter","Iratkozzon fel hírlevelünkre"
"State/Province","Állam/megye"
"Street Address","Utca, házszám"
"Submit","Beküldés"
"Telephone","Telefon"
"VAT Number","Adószám"
"Welcome, %s!","Üdvözöljük, %s!"
"What's this?","Mi ez?"
"Zip/Postal Code","Irányítószám"
