"2nd Day Air","2 වන දින වාතය"
"3 Day Select","3 දින තේරීම"
"Allowed Methods","අවසර ලත් ක්රම"
"Commercial","වෙළඳ"
"Debug","දෝෂහරණය කරන්න"
"Enable","සබල කරන්න"
"Free Shipping","ගාස්තු රහිත නැව්ගත කිරීම"
"Ground","බිම"
"Location","ස්ථානය"
"Media Mail","මාධ්ය තැපෑල"
"Merchant ID","වෙළඳ හැඳුනුම්පත"
"Method","ක්රමය"
"New Order Status","නව ඇණවුම් තත්ත්වය"
"Next Day Air","ඊළඟ දවසේ වාතය"
"Next Day Air Early AM","ඊළඟ දවසේ එයාර් එම්.එම්"
"Next Day Air Saver","ඊළඟ දවසේ එයාර් සේවර්"
"No","නැත"
"Priority Mail","ප්රමුඛ තැපෑල"
"Residential","නේවාසික"
"Title","ශීර්ෂය"
"Yes","ඔව්"
