"Add","ಸೇರಿಸಿ"
"Add New Role","ಹೊಸ ಹುದ್ದೆಯನ್ನು ಸೇರಿಸಿ"
"Address Type","ವಿಳಾಸದ ವಿಧ"
"Admin","ನಿರ್ವಾಹಕ"
"Allow","ಅನುಮತಿಸಿ"
"Assigned","ವಹಿಸಲಾಗಿದೆ"
"Attributes","ಗುಣವಿಶೇಷಗಳು"
"Back","ಹಿಂದೆ"
"Backorders","ಹಿಮ್ಮುಖವ್ಯಾಪಾರಾದೇಶಗಳು"
"Category ID","ವಿಭಾಗ ID"
"City","ನಗರ"
"Company","ಸಂಸ್ಠೆ"
"Country","ದೇಶ"
"Coupon Code","ಕೂಪನ್ ಸಂಕೇತ"
"Create","ರಚಿಸಿ"
"Create Permanent Redirect for old URL","ಹಳೆಯ URL ಗೆ ಶಾಶ್ವತ ಮರುನಿರ್ದೇಶಿಕೆಯನ್ನು ರಚಿಸಿ"
"Customer","ಗ್ರಾಹಕರು"
"Customer Address","ಗ್ರಾಹಕರ ವಿಳಾಸ"
"Customer First Name","ಗ್ರಾಹಕರ ಮೊದಲ ಹೆಸರು"
"Customer ID","ಗ್ರಾಹಕರ ID"
"Customer Last Name","ಗ್ರಾಹಕರ ಕೊನೆಯ ಹೆಸರು"
"Delete","ಅಳಿಸಿ"
"Deny","ನಿರಾಕರಿಸಿ"
"Discount","ರಿಯಾಯಿತಿ"
"Discount Amount","ರಿಯಾಯಿತಿ ಮೊತ್ತ"
"Edit","ಸಂಪಾದಿಸಿ"
"Edit Role","ಹುದ್ದೆಯನ್ನು ಸಂಪಾದಿಸಿ"
"Email","ಮಿಂಚೆ"
"Enable Qty Increments","ಪರಿಮಾಣ ಏರಿಕೆಗಳನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಿ"
"Exclude","ಹೊರತುಪಡಿಸಿ"
"File Name","ಕಡತದ ಹೆಸರು"
"First Name","ಮೊದಲ ಹೆಸರು"
"Gift Message","ಕೊಡುಗೆ ಸಂದೇಶ"
"Grand Total","ಒಟ್ಟು ಮೊತ್ತ"
"Group","ಗುಂಪು"
"Guest","ಅತಿಥಿ"
"Label","ಲೇಬಲ್"
"Last Name","ಕೊನೆಯ ಹೆಸರು"
"Manage Stock","ದಾಸ್ತಾನು ನಿರ್ವಹಿಸಿ"
"Maximum Qty Allowed in Shopping Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯಲ್ಲಿ ಅಂಗೀಕರಿಸಲಾಗುವ ಗರಿಷ್ಟ ಪರಿಮಾಣ"
"Minimum Qty Allowed in Shopping Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯಲ್ಲಿ ಅಂಗೀಕರಿಸಲಾಗುವ ಕನಿಷ್ಟ ಪರಿಮಾಣ"
"New Role","ಹೊಸ ಹುದ್ದೆ"
"Order","ವ್ಯಾಪಾರಾದೇಶ"
"Order Date","ವ್ಯಾಪಾರಾದೇಶದ ದಿನಾಂಕ"
"Order ID","ವ್ಯಾಪಾರಾದೇಶ ID"
"Order Status","ವ್ಯಾಪಾರಾದೇಶದ ಸ್ಠಿತಿ"
"Orders","ವ್ಯಾಪಾರಾದೇಶಗಳು"
"Payment Method","ಪಾವತಿ ವಿಧಾನ"
"Phone Number","ದೂರವಾಣಿ ಸಂಖ್ಯೆ"
"Position","ಸ್ಥಾನ"
"Price","ದರ"
"Product","ಉತ್ಪನ್ನ"
"Product ID","ಉತ್ಪನ್ನ ID"
"Qty","ಪರಿಮಾಣ"
"Qty Increments","ಪರಿಮಾಣ ಏರಿಕೆಗಳು"
"Qty Uses Decimals","ಪರಿಮಾಣವು ದಶಮಾಂಶವನ್ನು ಬಳಸುತ್ತದೆ"
"Role Info","ಹುದ್ದೆಯ ವಿವರ"
"Role Information","ಹುದ್ದೆಯ ಮಾಹಿತಿ"
"Role Name","ಹುದ್ದೆಯ ಹೆಸರು"
"Role Users","ಹುದ್ದೆ ಬಳಕೆದಾರರು"
"Roles","ಹುದ್ದೆಗಳು"
"Sales","ವ್ಯಾಪಾರಗಳು"
"Save","ಉಳಿಸಿ"
"Shipping Method","ಸಾಗಾಣಿಕೆ ವಿಧಾನ"
"State","ರಾಜ್ಯ"
"Stock Availability","ಉತ್ಪನ್ನದ ಲಭ್ಯತೆ"
"Stock Status","ದಾಸ್ತಾನು ಸ್ಥಿತಿಗತಿ"
"Store Name","ಮಳಿಗೆ ಹೆಸರು"
"Street","ರಸ್ತೆ"
"Subtotal","ಉಪಮೊತ್ತ"
"System","ವ್ಯವಸ್ಥೆ"
"Tax Amount","ತೆರಿಗೆ ಮೊತ್ತ"
"Tax Percent","ತೆರಿಗೆ ಶತಾಂಶ"
"Tax Rate","ತೆರಿಗೆ ದರ"
"Type","ವಿಧ"
"Update","ಪರಿಷ್ಕರಿಸಿ"
"ZIP/Postal Code","ಪಿನ್ ಕೋಡ್"
