"Add","Hozzáadás"
"Add New Role","Új szerepkör hozzáadása"
"Address Type","Címtípus"
"Admin","Adminisztrátor"
"Allow","Engedélyez"
"Assigned","Hozzárendelve"
"Attribute Set","Jellemző halmaz"
"Attributes","Jellemzők"
"Automatically Return Credit Memo Item to Stock","Jóváírt tétel automatikusan visszakerül raktárba"
"Back","Vissza"
"Backorders","Előrendelések"
"Base Currency","Alap pénznem"
"Catalog","Katalógus"
"Category ID","Kategória azonosító"
"City","Város"
"Company","Cég"
"Country","Ország"
"Coupon Code","Kuponkód"
"Create","Létrehozás"
"Create Permanent Redirect for old URL","Tartós átirányítás létrehozása a régi URL-hez"
"Customer","Vásárló"
"Customer Address","Vásárló címe"
"Customer First Name","Vásárló keresztneve"
"Customer Last Name","Vásárló vezetékneve"
"Delete","Törlés"
"Deny","Tiltás"
"Discount","Kedvezmény"
"Discount Amount","Engedmény összege"
"Edit","Szerkesztés"
"Edit Role","Szerepkör szerkesztése"
"Email","E-mail"
"Enable Qty Increments","Mennyiség növekmények engedélyezése"
"Exclude","Kizárás"
"File Name","Fájlnév"
"First Name","Keresztnév"
"Gift Message","Ajándék üzenet"
"Grand Total","Mindösszesen"
"Group","Csoport"
"Guest","Vendég"
"ID","Azonosító"
"Label","Címke"
"Last Name","Vezetéknév"
"Manage Stock","Készlet kezelése"
"Maximum Qty Allowed in Shopping Cart","Megengedett maximum mennyiség a kosárban"
"Minimum Qty Allowed in Shopping Cart","Megengedett minimum mennyiség a kosárban"
"New Role","Új szerepkör"
"Notify for Quantity Below","Értesítés mennyiségnél"
"Order","Rendelés"
"Order Comments","Rendelés jegyzetek"
"Order Date","Rendelés dátuma"
"Order ID","Megrendelés azonosító"
"Order Status","Megrendelés állapota"
"Orders","Rendelések"
"Original Price","Eredeti ár"
"Payment Method","Fizetési mód"
"Phone Number","Telefonszám"
"Placed from IP","Vásárló IP címe"
"Position","Pozició"
"Price","Ár"
"Product","Termék"
"Product ID","Termék ID"
"Product Type","Termék típus"
"Qty","Mennyiség"
"Qty Increments","Mennyiség növekmény"
"Qty Uses Decimals","Tizedes használata"
"Role Info","Szerepkör-információ"
"Role Information","Szerepkör-információ"
"Role Name","Szerepkör neve"
"Role Users","Szerepkör Felhasználók"
"Roles","Szerepkörök"
"SKU","Cikkszám"
"Sales","Értékesítések"
"Save","Mentés"
"Shipping Amount","Szállítás mennyiség"
"Shipping Method","Szállítási mód"
"State","Megye"
"Stock Availability","Raktárkészlet"
"Stock Status","Raktár állapot"
"Store Name","A bolt megnevezése"
"Subtotal","Részösszeg"
"System","Rendszer"
"Tax Amount","Adó összege"
"Tax Percent","Áfa százalék"
"Tax Rate","Adókulcs"
"Total Due","Teljes tartozás"
"Total Paid","Fizetett végösszeg"
"Total Refunded","Összesen visszatérítve"
"Type","Típus"
"URL","URL-cím"
"Update","Frissités"
"ZIP/Postal Code","Irányítószám"
