"-- Please Select --","-- Выберите --"
"Actions","Действия"
"Add Layout Update","Добавить обновление макета"
"All","Все"
"All Pages","Все страницы"
"All Product Types","Все виды продукции"
"Anchor Categories","Закрепить категории"
"Apply","Применить"
"Assign to Store Views","Назначить хранилище просмотров"
"Big Image","Большое изображение"
"Categories","Категории"
"Choose...","Выберете..."
"Close","Закрыть"
"Continue","Продолжить"
"Default Template","Шаблон По Умолчанию"
"Delete","Удалить"
"Design Package/Theme","Пакет/тема дизайна"
"Export to:","Экспортировать в:"
"Frontend Properties","Свойства пользовательской части"
"Generic Pages","Общие страницы"
"Images","Изображения"
"Insert Widget","Вставить Виджет"
"Layout Updates","Разметка обновлена"
"New Widget Instance","Новый экземпляр виджета"
"Next page","Следующая страница"
"Non-Anchor Categories","Не закреплённые категории"
"Not Selected","Не выбрано"
"Open Chooser","Открыть окно выбора"
"Page","Страница"
"Previous page","Предыдущая страница"
"Products","Товары"
"Remove Layout Update","Удалить обновление макета"
"Save and Continue Edit","Сохранить и продолжить редактирование"
"Select All","Выбрать всё"
"Select Visible","Выделить видимые"
"Settings","Настройки"
"Sort Order","Порядок Сортировки"
"Specified Page","Указанная страница"
"Template","Шаблон"
"The information in this tab has been changed.","На этой вкладке были изменена информация."
"The widget instance has been deleted.","Экземпляр Виджета был удален."
"The widget instance has been saved.","Экземпляр Виджета был сохранён."
"This tab contains invalid data. Please solve the problem before saving.","Эта закладка содержит неверные данные. Пожалуйста, решите проблему перед сохранением."
"Thumbnail","Мини-изображение"
"Total %d records found","Всего найдено записей %d"
"Type","Тип"
"Unselect All","Снять все выделения"
"Unselect Visible","Снять выделение с видимых"
"View","Просмотр"
"Widget","Виджет"
"Widget ID","Id виджета"
"Widget Insertion","Вставки виджета"
"Widget Options","Параметры виджета"
"Widget Type","Тип виджета"
"Widgets","Виджеты"
"items selected","позиций выбрано"
"of %s pages","из %s страниц"
"per page","на странице"
