"10 minutes","10 分钟"
"15 minutes","15 分钟"
"20 minutes","20 分钟"
"30 minutes","30 分钟"
"5 minutes","5 分钟"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (计划任务) – 时间单位为分钟"
"Daily","每天"
"Failure History Lifetime","失败的历史寿命"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","为了在cron运行过程中生成正确的网址，请确认网站 > 安全和不安全基准网址已明确设定。"
"Generate Schedules Every","生成时间表"
"History Cleanup Every","历史记录清除每个"
"Hourly","每小时"
"Invalid callback: %s::%s does not exist","无效回叫接口：%s::%s 不存在"
"Invalid model/method definition, expecting ""model/class::method"".","错误的 model/method 定义，正确格式为 ""model/class::method""."
"Minute Intervals","分钟一班"
"Missed if Not Run Within","如果不在内部运行，就会错过"
"Monthly","每月"
"No callbacks found","未发现回叫接口"
"Schedule Ahead for","提前计划"
"Success History Lifetime","成功的历史寿命"
"Unable to delete the cron task.","不能删除 cron 任务。"
"Weekly","每月"
