"Actions","Handlinger"
"Active","Aktiv"
"Add New Rule","Tilføj ny regel"
"Alphanumeric","Alfanumerisk"
"Apply","Anvend"
"Apply To","Anvend for"
"Apply the rule only if the following conditions are met (leave blank for all products)","Anvend kun regel, hvis følgende betingelser er opfyldt (lad stå tom for alle produkter)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Anvend kun reglen på varer i indkøbskurv, som lever op til følgende betingelser (lad stå tom hvis det skal gælde alle varer)"
"Apply the rule to cart items matching the following conditions","Anvend reglen på varer i indkøbskurv, som lever op til følgende betingelser"
"Buy X get Y free (discount amount is Y)","Køb X, få Y gratis (mængde er Y)"
"By Fixed value","Med fast værdi"
"By Percentage","Med procent"
"Can't acquire coupon.","Kan ikke hente rabatkoden."
"Cart Attribute","Egenskaber for kurv"
"Catalog","Katalog"
"Conditions","Betingelser"
"Conditions combination","Betingelseskombination"
"Coupon","Rabatkode"
"Coupon Code","Kuponkode"
"Coupon Qty","Kupon antal"
"Created On","Oprettet den"
"Customer Groups","Kundegrupper"
"Date Expire","Udløbsdato"
"Date Start","Startdato"
"Description","Beskrivelse"
"Discount Amount","Rabatbeløb"
"Discount Qty Step (Buy X)","Rabat mængdetrin (Køb X)"
"Edit Rule","Rediger regel"
"Edit Rule '%s'","Rediger regel '%s'"
"FOUND","FUNDET"
"Fixed amount discount","Rabat (fast beløb)"
"Fixed amount discount for whole cart","Fast rabatbeløb for hele indkøbskurven"
"For matching items only","Kun for tilsvarende varer"
"For shipment with matching items","For levering med matchende varer"
"Free Shipping","Fri fragt"
"From Date","Startdato"
"General Information","Generelle informationer"
"Generate","Generer"
"Inactive","Inaktiv"
"Labels","Etiketter"
"NOT LOGGED IN","IKKE LOGGERET IND"
"New Rule","Ny regel"
"No","Nej"
"Number of Uses","Anvendt (antal gange)"
"Numeric","Numerisk"
"Payment Method","Betalingsmetode"
"Percent of product price discount","Rabat (procent af pris)"
"Period","Periode"
"Price in cart","Pris i kurv"
"Priority","Prioritet"
"Product attribute combination","Kombination af produktegenskaber"
"Products subselection","Kombination af produkter"
"Promotions","Kampagner"
"Public In RSS Feed","Offentlig i RSS Feed"
"Quantity in cart","Antal i kurv"
"Row total in cart","Antal varer i kurv"
"Rule Information","Regel - detaljer"
"Rule Name","Regelnavn"
"Save and Continue Edit","Gem og fortsæt redigering"
"Shipping Country","Levering - land"
"Shipping Method","Leveringsmetode"
"Shipping Postcode","Levering - postnummer"
"Shipping Region","Levering - område"
"Shipping State/Province","Leverings stat/provins"
"Shopping Cart Price Rule","Prisregel for indkøbskurv"
"Shopping Cart Price Rules","Prisregler for indkøbskurv"
"Special Price","Tilbudspris"
"Store View Specific Labels","Butiksspecifikke etiketter"
"Subtotal Amount","Subtotal (beløb)"
"This rule no longer exists.","Denne regel eksisterer ikke længere."
"To Date","Udløbsdato"
"To Fixed Value","Til fast værdi"
"To Percentage","Til procent"
"Total","I alt"
"Total Amount","Samlet beløb"
"Total Items Quantity","Samlet antal varer"
"Total Weight","Samlet vægt"
"Update prices using the following information","Opdater priser med følgende information"
"Update product's %s %s: %s","Opdater produkter %s %s: %s"
"Update the Product","Opdater produktet"
"Used","Brugt"
"Uses per Coupon","Anvendelser pr. rabatkode"
"Website","Hjemmeside"
"Websites","Hjemmesider"
"Yes","Ja"
