"Actions","การดำเนินการ"
"Active","ใช้งานอยู่"
"Add New Rule","เพิ่มข้อกำหนดใหม่"
"Alphanumeric","ตัวอักษรตัวเลข"
"Apply","นำไปใช้"
"Apply To","ใช้งานไปยัง"
"Apply the rule only if the following conditions are met (leave blank for all products)","นำข้อกำหนดไปใช้เฉพาะต่อเมื่อตรงกับเงื่อนไขดังต่อไปนี้ (ปล่อยว่างไว้หากต้องการให้ใช้กับสินค้าทั้งหมด)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","นำข้อกำหนดไปใช้เฉพาะรายการในรถเข็นที่ตรงกับเงื่อนไขดังต่อไปนี้ (ปล่อยว่างไว้เมื่อต้องการให้ใช้กับรายการสินค้าทั้งหมด)"
"Apply the rule to cart items matching the following conditions","นำข้อกำหนดไปใช้กับรายการในรถเข็นที่ตรงกับเงื่อนไขดังต่อไปนี้"
"By Fixed value","ตามค่าคงที่"
"By Percentage","ตามเปอร์เซ็นต์"
"Cart Attribute","คุณลักษณะรถเข็น"
"Catalog","แค็ตตาล็อก"
"Conditions","เงื่อนไข"
"Coupon Code","รหัสคูปอง"
"Created On","สร้างเมื่อ"
"Customer Groups","กลุ่มลูกค้า"
"Date Expire","วันที่หมดอายุ"
"Date Start","วันที่เริ่ม"
"Description","รายละเอียด"
"Discount Amount","จำนวนส่วนลด"
"Discount Qty Step (Buy X)","ระดับจำนวนการลดราคา(แ X)"
"Edit Rule","แก้ไขข้อกำหนด"
"Edit Rule '%s'","แก้ไขข้อกำหนด '%s'"
"Fixed amount discount","ส่วนลดจำนวนเงินคงที่"
"Fixed amount discount for whole cart","ส่วนลดจำนวนเงินคงที่สำหรับ whole cart"
"For matching items only","สำหรับรายการสินค้าที่ตรงกันเท่านั้น"
"For shipment with matching items","สำหรับการส่งสินค้าที่มีรายการตรงกัน"
"From Date","จากวันที่"
"General Information","ข้อมูลทั่วไป"
"ID","ไอดี"
"Inactive","ไม่ใช้งาน"
"NOT LOGGED IN","ไม่ได้เข้าสู่ระบบ"
"New Rule","ข้อกำหนดใหม่"
"No","ไม่"
"Number of Uses","จำนวนที่่ใช้"
"Payment Method","วิธีการชำระเงิน"
"Percent of product price discount","เปอร์เซ็นต์ของส่วนลดราคาสินค้า"
"Period","ระยะเวลา"
"Price in cart","ราคาในรถเข็น"
"Priority","ระดับความสำคัญ"
"Product attribute combination","การรวมคุณลักษณะสินค้า"
"Promotions","โปรโมชั่น"
"Public In RSS Feed","เผยแพร่ใน  RSS Feed"
"Quantity in cart","จำนวนในรถเข็น"
"Row total in cart","แถวทั้งหมดในรถเข็น"
"Rule Information","คำอธิบายเงื่อนไข"
"Rule Name","ชื่อเงื่อนไข"
"Save and Continue Edit","บันทึก และแก้ไขต่อไป"
"Shipping Country","ประเทศที่ส่งสินค้า"
"Shipping Method","วิธีการส่งสินค้า"
"Shipping Postcode","ส่งสินค้าทางไปรษณีย์"
"Shipping Region","ภูมิภาคการส่งสินค้า"
"Shipping State/Province","รัฐ/จังหวัดที่จัดส่งสินค้า"
"Shopping Cart Price Rule","ข้อกำหนดราคาในรถเข็น"
"Shopping Cart Price Rules","ข้อกำหนดราคาในรถเข็น"
"Status","สถานะ"
"Subtotal","ผลรวมย่อย"
"Subtotal Amount","จำนวนรวม"
"This rule no longer exists.","เงื่อนไขนี้ไม่มีอยู่แล้ว"
"To Date","ถึงวันที่"
"To Fixed Value","เป็นค่าคงที่"
"To Percentage","เป็นเปอร์เซ็นต์"
"Total","รวม"
"Total Amount","จำนวนทั้งหมด"
"Total Items Quantity","รวมจำนวนสินค้า"
"Total Weight","รวมน้ำหนัก"
"Update prices using the following information","อัพเดทราคาโดยใช้ข้อมูลดังต่อไปนี้"
"Update product's %s %s: %s","แก้ไขสินค้า %s %s: %s"
"Update the Product","ปรับปรุงสินค้า"
"Website","เว็บไซต์"
"Websites","เว็บไซต์"
"Yes","ใช่"
