"Actions","Műveletek"
"Are you sure?","Biztos benne?"
"Date Added","Hozzáadás dátuma"
"Last Update","Utolsó frissítés"
"Mark as Read","Megjelölés olvasottként"
"Mark as read","Olvasottnak jelöl"
"Message","Üzenet"
"Messages Inbox","Beérkezett üzenetek"
"Notifications","Értesítések"
"Please select messages.","Kérlek, válasszd ki az üzeneteket."
"Read Details","Részletek"
"Remove","Eltávolítás"
"Severity","Súlyosság"
"Show List","Lista megjelenítése"
"Show Toolbar","Eszköztár megjelenítése"
"The message has been removed.","Az üzenet törölve."
"Update Frequency","Frissítési gyakoriság"
"Use HTTPS to Get Feed","HTTPS használata hírcsatornához"
"Wrong message type","Rossz üzenet típus"
"critical","kritikus"
"major","súlyos"
"minor","elhanyagolható"
"notice","figyelmeztetés"
