"%1$s incl tax.","%1$s გადასახადებით."
"%s Item(s)","%s ჩანაწერი"
"* Required Fields","* აუცილებელი ველები"
"A name is required","სახელის მითითება აუცილებელია"
"ALL GROUPS","ყველა ჯგუფი"
"Add Attribute","ატრიბუტის დამატება"
"Add to Cart","კალათაში ჩადება"
"Add to Compare","+ შესადარებლად"
"Add to Wishlist","+ სურვილებში"
"Additional Information","დამატებითი ინფორმაცია"
"Approved","დამოწმებულია"
"Are you sure you would like to remove all products from your comparison?","ნამდვილად გნებავთ ყველა პროდუქტის ამოშლა შედარების სიიდან?"
"Are you sure you would like to remove this item from the compare products?","ნამდვილად გნებავთ ამ ჩანაწერის შედარების სიიდან ამოშლა?"
"As low as:","უმცირესი ფასი:"
"Availability:","მარაგი:"
"Buy %1$s for %2$s","იყიდე %1$s ცალი %2$s-ად"
"Buy %1$s for %2$s (%3$s incl. tax) each","შეიძინეთ %1$s ცალი თითო %2$s-ად (%3$s გადასახადებით)"
"Buy %1$s for %2$s each","შეიძინეთ %1$s ცალი თითო %2$s-ად"
"Categories Sitemap","კატეგორიების სარჩევი"
"Category Products","კატეგორიის პროდუქტები"
"Check items to add to the cart or","შეარჩიეთ პროდუქტები კალათაში დასამატებლად ან"
"Clear All","გასუფთავება"
"Close Window","ფანჯრის დახურვა"
"Compare Products","შედარება"
"Date Subscribed","გამოწერის თარიღი"
"Details","პროდუქტის აღწერა"
"Double click on above image to view full picture","სრული სურათის სანახავად დააწკაპუნეთ ორჯერ"
"In Stock","საწყობშია"
"In stock","საწყობშია"
"Items %s to %s of %s total","პროდუქცია %s-დან %s-მდე (სულ %s)"
"More Views","დამატებითი სურათები"
"Move","გადატანა"
"My Account","ჩემი ანგარიში"
"Next","შემდეგი"
"OR","ან"
"Old Price:","ძველი ფასი:"
"Pending","მოლოდინში"
"Position","მდებარეობა"
"Prev","წინა"
"Previous","წინა"
"Price Type","ფასის ტიპი"
"Print This Page","ამ გვერდის დაბეჭდვა"
"Product Name","პროდუქტის დასახელება"
"Product Tags","პროდუქტის ტაგები"
"Products Sitemap","პროდუქციის სარჩევი"
"Qty:","რაოდენობა:"
"Quick Overview","მოკლე მიმოხილვა"
"Regular Price:","ჩვეულებრივი ფასი:"
"Related Products","მონათესავე პროდუქცია"
"Remove This Item","ჩანაწერის წასშლა"
"Save Attribute","ატრიბუტის შენახვა"
"Save Category","კატეგორიის შენახვა"
"Save Search","ძებნის შენახვა"
"Search","ძებნა"
"Shopping Options","კატალოგის ფილტრი"
"Show","აჩვენე"
"Show Details","დეტალების ნახვა"
"Show Tags","ტაგების ჩვენება"
"Site Map","საიტის სარჩევი"
"Special Price:","სპეციალური ფასი:"
"Starting at:","საწყისი ფასი:"
"Subscribe to RSS Feed","RSS არხის გამოწერა"
"There are no products matching the selection.","მიმდინარე სექციაში პროდუქცია არ არის."
"Total incl. Tax: %1$s","სულ გად. ჩათვლით: %1$s"
"View Details","დეტალების ნახვა"
"View as","ნახე როგორც"
"You have no items to compare.","შედარების სია ცარიელია."
"You may also be interested in the following product(s)","მსგავსი პროდუქტები"
"and","და"
"save","დაზოგეთ"
"select all","მონიშნეთ ყველა"
"unselect all","გადანიშნეთ ყველა"
