"# of Uses","# alkalommal"
"Action","Akció"
"Add","Hozzáadás"
"Add New Tag","Új címke"
"Add Tags","Címkék hozzáadása"
"Add Your Tags:","Címkék hozzáadása:"
"Add to Cart","Kosárba"
"Add to Wishlist","Hozzáadás a kívánságlistához"
"All Tags","Összes címke"
"Approved","Elfogadva"
"Are you sure you want to delete this tag?","Biztos benne hogy törli ezt a címkét?"
"Are you sure you want to do this?","Biztos benne, hogy végrehajtja a műveletet?"
"Are you sure?","Biztos benne?"
"Back","Vissza"
"Back to Tags List","Vissza a címkékhez"
"Block Information","Blokk információi"
"Change status","Állapot megváltoztatása"
"Click on a tag to view your corresponding products.","Kattintson egy címkére a kapcsolódó termékek listájához."
"Country","Ország"
"Customer Since","Első vásárlás"
"Customers","Vásárlók"
"Customers Tagged '%s'","Vevők akik címkézték '%s'"
"Delete","Törlés"
"Delete Tag","Címke törlése"
"Disabled","Tiltott"
"Edit Tag '%s'","Címke szerkesztése '%s'"
"Email","E-mail"
"First Name","Keresztnév"
"General Information","Általános információ"
"Grid","Rács"
"ID","Azonosító"
"Last Name","Vezetéknév"
"List","Lista"
"My Recent Tags","Legújabb címkéim"
"My Tags","Címkéim"
"Name","Név"
"New Tag","Új címke"
"No matches found.","Nem találtam ilyet."
"Other people marked this product with these tags:","Mások ezekkel a címkékkel látták el ezt a terméket:"
"Pending","Függő"
"Pending Tags","Függő címkék"
"Popular","Népszerű"
"Popular Tags","Népszerű címkék"
"Price","Ár"
"Product Name","Terméknév"
"Product SKU","Termék CSZ"
"Product Tags","Termék címkék"
"Products","Termékek"
"Products Tagged with '%s'","Termékek címkézve ezzel: '%s'"
"Products tagged with '%s'","Termékek címkézve ezzel: '%s'"
"Remove","Eltávolítás"
"SKU","Cikkszám"
"Save Tag","Címke mentése"
"Save and Continue Edit","Mentés és szerkesztés folytatása"
"Status","Állapot"
"Store View","Bolt nézet"
"Tag","Címke"
"Tag Name","Címke neve"
"Tags","Cimkék"
"Tags:","Címkék:"
"Telephone","Telefon"
"Unable to find any products tagged with '%s' in the current store","Nem található egy termék sem ezzel a címkével (%s) ebben a boltban"
"Unable to remove tag. Please, try again later.","A címkét nem sikerült eltávolítani. Próbálja meg később."
"Update","Frissités"
"Use spaces to separate tags. Use single quotes (') for phrases.","Használjon szünetet a címkék elválasztásához. Használja az aposztróf jelet (') kifejezésekhez."
"View All Tags","Összes címke"
"View Customers","Vásárlók megtekintése"
"View Products","Termékek megtekintése"
"You have not tagged any products yet.","Ön még nem címkézett meg egyetlen terméket sem."
"ZIP/Post Code","Irányítószám"
"[STORE VIEW]","[BOLT NÉZET]"
