"Actions","Akce"
"Add Answer","Přidat odpověď"
"Add New Answer","Přidat novou odpověď"
"Add New Poll","Přidat novou anketu"
"Answer Title","Nadpis odpovědi"
"Answer Title:","Nadpis odpovědi:"
"Answer with the same title in this poll","Odpověď se stejným názvem v této anketě"
"Are you sure you want to delete it?","Jste si jisti, že ji chcete smazat?"
"Assigned Answers","Přiřazená odpověď"
"Closed","Zavřeno"
"Community Poll","Uživatelská anketa"
"Date Closed","Datum uzavření"
"Date Posted","Datum vydání"
"Delete","Smazat"
"Delete Answer","Smazat odpověď"
"Delete Poll","Smazat anketu"
"Edit Answer '%s'","Upravit odpověď '%s'"
"Edit Poll '%s'","Upravit anketu '%s'"
"Edit Poll Answer","Upravit odpověď ankety"
"New Poll","Nová anketa"
"Number of Responses","Počet odpovědí"
"Open","Otevřít"
"Poll Answers","Odpovědi ankety"
"Poll Information","Informace o anketě"
"Poll Manager","Správce anket"
"Poll Question","Otázka ankety"
"Poll information","Informace o anketě"
"Poll with the same question","Anketa se stejnou otázkou"
"Polls","Ankety"
"Save Answer","Uložit odpověď"
"Save Poll","Uložit anketu"
"Status","Stav"
"Visible In","Viditelné v"
"Vote","Hlasovat"
"Votes Count","Počet hlasování"
"Votes Count:","Počet hlasování:"
