"Actions","ایکشنز"
"Are you sure you want to delete all items from shopping cart?","کیا آپ واقعی خریداری کی ٹوکری سے تمام اشیاء کو حذف کرنا چاہتے ہیں؟"
"Are you sure?","کیا تمہیں یقین ہے؟"
"Assign Order Status to State","اسٹیٹ کو آرڈر کی حیثیت تفویض کریں"
"Assign Status to State","اسٹیٹ کو حیثیت تفویض کریں"
"Assignment Information","تفویض کی معلومات"
"Capture","قبضہ"
"Clear Shopping Cart","شاپنگ ٹوکری کو خالی کریں"
"Close","بند کریں"
"Create New Status","نئی حیثیت بنائیں"
"Create Order","آرڈر بنائیں"
"Credit Memo","کریڈٹ میمو"
"Last Ordered Items","آخری آرڈرڈ اشیاء"
"Message","پیغام"
"Order State","آرڈر کی حالت"
"Order Status","آرڈر کی حیثیت"
"Order Statuses","آرڈر کی حیثیتں"
"Order Totals","آرڈر کل"
"Price","قیمت"
"Products in Comparison List","موازنہ کی فہرست میں مصنوعات"
"Recently Compared Products","حال ہی میں موازنہ گئے مصنوعات"
"Recently Viewed","حال ہی میں دیکھا گیا"
"Recently Viewed Products","حال ہی میں دیکھے گئے مصنوعات"
"Refund Shipping (Excl. Tax)","رقم کی واپسی کی شپنگ (ٹیکس کو چھوڑ کر)"
"Refund Shipping (Incl. Tax)","رقم کی واپسی کی شپنگ (بشمول ٹیکس)"
"Remove","مٹانا"
"Save Status Assignment","حیثیت تفویض محفوظ کریں"
"Select","منتخب کریں"
"Shipping Address","شپنگ ایڈریس"
"Shipping Method","بھیجنے کا طریقہ"
"Shopping Cart","خریداری کی ٹوکری"
"Submit Invoice","انوائس جمع کروائیں"
"Update Changes","تبدیلیوں کو اپ ڈیٹ کریں"
