"-- Please Select --","-- Lütfen Seçiniz --"
"Attribute Code","Özellik Kodu"
"Attribute Label","Özellik Etiketi"
"Begin data validation","Veri doğrulamasına başla"
"CSV","Csv"
"Cannot get autoincrement value","Otomatik artış değeri alınamıyor"
"Check Data","Veriyi Kontrol Et"
"Customers","Müşteriler"
"Delete Entities","Varlıkları Sil"
"Destination file is not writable","Hedef dosyaya yazma hakkı yok"
"Entity Type","Varlık Tipi"
"Entity is unknown","Varlık bulunamıyor"
"Export","Ver"
"Export File Format","Dosya Biçimini Dışa Aktar"
"Export Settings","Ayarları Dışa Aktar"
"File is valid! To start import process press ""Import"" button","Dosya geçerli! Veri alma işlemini başlatmak için ""Veri Al"" tuşuna basınız"
"Filter","Filtre"
"From","Baş"
"Import","Veri Al"
"Import Behavior","İçe Aktarma Davranışı"
"Import Settings","Ayarları Al"
"Import/Export","İçeri Aktarma/Dışarı Çıkarma"
"No valid data sent","Geçerli veri gönderilmedi"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Lütfen hataları düzeltin ve dosyayı yeniden yükleyin veya hataları hatalı olarak atlamak için yalnızca ""İçe Aktar"" düğmesine basın"
"Products","Ürünler"
"Select File to Import","İçe Aktarılacak Dosyayı Seç"
"Status","Durum"
"There are no product types available for export","Dışarı aktarmak için uygun ürün tipi yok"
"To","Bit"
"Unknown attribute filter type","Bilinmeyen öznitelik filtresi türü"
