"Add Minimum Qty","Adicionar Qtd Mínima"
"Allow Qty Below 0","Permitir Quantidade Abaixo de 0"
"Allow Qty Below 0 and Notify Customer","Permitir o Quantidade abaixo de 0 e notificar o cliente"
"Automatically Return Credit Memo Item to Stock","Retornar automaticamente item de nota de crédito para o estoque"
"Backorders","Pedidos pendentes"
"By Fixed value","Por Valor Fixo"
"By Percentage","Por Percentagem"
"Catalog Inventory","Inventário do catálogo"
"Decrease Stock When Order is Placed","Diminuir Estoque Quando é Confirmado um Pedido"
"Display Out of Stock Products","Mostrar Produtos Sem Estoque"
"Enable Qty Increments","Habilitar os Incrementos de Qtd"
"In Stock","Em Estoque"
"Inventory","Inventário"
"Inventory API","API do inventário"
"Manage Stock","Gerenciar Estoque"
"Maximum Qty Allowed in Shopping Cart","Quantidade Máxima Permitida no Carrinho"
"Minimum Qty","Qtd Mínima"
"Minimum Qty Allowed in Shopping Cart","Quantidade Mínima Permitida no Carrinho"
"No Backorders","Sem Pedidos Pendentes"
"Notify for Quantity Below","Notificar para Quantidade Abaixo"
"Only X left Threshold","Valor de Estoque para Mostrar ""Só restam X"""
"Out of Stock","Fora de Estoque"
"Product Name","Nome do produto"
"Product Stock Options","Opções de Estoque do Produto"
"Products will still be shown by direct product URLs.","Os produtos serão mostrados através de URLs diretos para os mesmos."
"Qty","Qtd"
"Qty Increments","Incrementos de Qtd"
"Retrieve stock data","Obter dados do estoque"
"Retrieve stock data by product ids","Obter dados do estoque através dos IDs dos produtos"
"Rule price","Regra de Preço"
"Set Items' Status to be In Stock When Order is Cancelled","Definir Estado dos Itens para Disponível Quando é Cancelada uma Encomenda"
"Stock Options","Opções de estoque"
"Stock Status","Status do Estoque"
"The maximum quantity allowed for purchase is %s.","A quantidade máxima permitida por compra é %s."
"The minimum quantity allowed for purchase is %s.","A quantidade mínima permitida por compra é %s."
"The requested quantity for ""%s"" is not available.","A quantidade solicitada para ""%s"" não está disponível."
"The stock item for Product in option is not valid.","O item de estoque para o Produto na opção é inválido."
"This product is currently out of stock.","Esse produto está esgotado no momento."
"To Fixed Value","Para Valor Fixo"
"To Percentage","Para Percentagem"
"Update","Atualizar"
"Update product stock data","Atualizar dados do estoque do produto"
"Update the Product","Atualizar produto"
