"# of Uses","使用次数"
"Action","操作"
"Add","添加"
"Add New Tag","增添新标签"
"Add Tags","增添标签"
"Add Your Tags:","添加您的标签："
"Add to Cart","添加到购物车"
"Add to Wishlist","添加到收藏夹"
"All Tags","所有标签"
"Approved","已批准"
"Are you sure you want to delete this tag?","您确定要删除此标签吗？"
"Are you sure you want to do this?","您确认要这么做么？"
"Are you sure?","您确定吗？"
"Back","返回"
"Back to Tags List","返回标签列表"
"Block Information","块信息"
"CSV","Excel XML"
"Change status","更改状态"
"Click on a tag to view your corresponding products.","点击标签查看相应的商品。"
"Country","国家"
"Customer Since","客户自"
"Customers","客户"
"Customers Tagged '%s'","顾客标签过的'%s'"
"Delete","删除"
"Delete Tag","删除标签"
"Disabled","禁用"
"Edit Tag '%s'","编辑标签'%s'"
"Email","邮箱"
"First Name","名"
"General Information","常规信息"
"Grid","%1及以上"
"ID","编号ID"
"Last Name","姓"
"List","列表"
"My Recent Tags","我最近的标签"
"My Tags","我的标签"
"Name","名字"
"New Tag","新标签"
"No matches found.","无匹配的标签。"
"Other people marked this product with these tags:","其它顾客于商品的标签："
"Pending","待付款"
"Pending Tags","待审标签"
"Popular","热门"
"Popular Tags","热门标签"
"Price","价格"
"Product Name","产品名称"
"Product SKU","商品 SKU"
"Product Tags","商品标签"
"Products","产品展示"
"Products Tagged with '%s'","'%s'标签的商品"
"Products tagged with '%s'","'%s'标签的商品"
"Remove","删除"
"SKU","商品编号SKU"
"Save Tag","储存标签"
"Save and Continue Edit","保存并继续编辑"
"Status","状态"
"Store View","商店界面"
"Tag","标签"
"Tag Name","标签名称"
"Tags","标签"
"Tags:","标签："
"Telephone","电话"
"Unable to find any products tagged with '%s' in the current store","先商店里查找不到'%s标签'的商品。"
"Unable to remove tag. Please, try again later.","无法删除标签。请重试。"
"Update","更新"
"Use spaces to separate tags. Use single quotes (') for phrases.","用空格分开标签。短语请使用单引号(')标出。"
"View All Tags","查看所有标签"
"View Customers","查看顾客"
"View Products","查看商品"
"You have not tagged any products yet.","您还没有加标签于任何商品。"
"ZIP/Post Code","邮政代码"
"[STORE VIEW]","[店铺视图]"
