"Actions","ایکشنز"
"Are you sure?","کیا تمہیں یقین ہے؟"
"Date Added","تاریخ شامل کر دی ہے"
"Last Update","آخری اپ ڈیٹ"
"Mark as Read","پڑھ کر نشان زد کریں"
"Message","پیغام"
"Messages Inbox","پیغامات ان باکس کرو"
"Notifications","آگاہی"
"Please select messages.","براہ کرم پیغامات کو منتخب کریں."
"Read Details","تفصیلات پڑھیں"
"Remove","مٹانا"
"Severity","سختی"
"Show List","فہرست دکھائیں"
"Show Toolbar","ٹول بار دکھائیں"
"The message has been removed.","پیغام کو ہٹا دیا گیا ہے."
"Update Frequency","اپ ڈیٹ فریکوئنسی"
"Use HTTPS to Get Feed","فیڈ حاصل کرنے کیلئے HTTPS کا استعمال کریں"
"Wrong message type","غلط پیغام کی قسم"
"critical","اہم"
"major","بڑا"
"minor","معمولی"
"notice","نوٹس"
