"All Websites","所有网站"
"Display Prices In Emails","在电子邮件中显示的价格"
"Display Prices In Product Lists","在产品列表中显示的价格"
"Display Prices In Sales Modules","在销售模块中显示价格"
"Display Prices On Product View Page","产品视图页面上显示的价格"
"Enable FPT","启用 FPT"
"Excluding FPT","不包括 FPT"
"Excluding FPT, FPT description, final price","含商品固定税（FPT）, 说明及最终价格"
"Fixed Product Tax","固定的产品税"
"Fixed Product Taxes","固定的产品税"
"Include FPT In Subtotal","在分类汇总中包括 FPT"
"Including FPT and FPT description","包括 FPT 和 FPT 描述"
"Including FPT and FPT description [incl. FPT VAT]","I包括商品固定税（FPT）及描述 [包含商品固定税增值税]"
"Including FPT only","只包括 FPT"
"Total","总额"
"Total Incl. Tax","含税总价"
"Total incl. tax","含税总额"
"Total:","总数:"
