"Action","പ്രവർത്തനം"
"Add New Block","പുതിയ ബ്ലോക്ക് ചേർക്കുക"
"Add New Page","പുതിയ പേജ് ചേർക്കുക"
"All Countries","എല്ലാ രാജ്യങ്ങളും"
"Anchor Custom Title","ആങ്കർ കസ്റ്റം ടൈറ്റിൽ"
"Block","ബ്ലോക്ക്"
"Block Information","വിവരങ്ങൾ തടയുക"
"Block Title","ബ്ലോക്ക് ശീർഷകം"
"CMS Home Page","CMS ഹോം പേജ്"
"CMS No Route Page","CMS റൂട്ട് പേജ് ഇല്ല"
"CMS Page","CMS പേജ്"
"CMS Page Link","CMS പേജ് ലിങ്ക്"
"CMS Page Link Block Template","CMS പേജ് ലിങ്ക് ബ്ലോക്ക് ടെംപ്ലേറ്റ്"
"CMS Page Link Inline Template","CMS പേജ് ലിങ്ക് ഇൻലൈൻ ടെംപ്ലേറ്റ്"
"CMS Static Block","CMS സ്റ്റാറ്റിക് ബ്ലോക്ക്"
"Content","ഉള്ളടക്കം"
"Content Heading","ഉള്ളടക്ക തലക്കെട്ട്"
"Content Management","ഉള്ളടക്ക മാനേജുമെന്റ്"
"Contents of a Static Block","ഒരു സ്റ്റാറ്റിക് ബ്ലോക്കിന്റെ ഉള്ളടക്കം"
"Custom Design","ഇഷ്‌ടാനുസൃത രൂപകൽപ്പന"
"Delete Block","ബ്ലോക്ക് ഇല്ലാതാക്കുക"
"Delete File","ഫയൽ ഇല്ലാതാക്കുക"
"Delete Folder","ഫോൾഡർ ഇല്ലാതാക്കുക"
"Delete Page","പേജ് ഇല്ലാതാക്കുക"
"Description","വിവരണം"
"Design","ഡിസൈൻ"
"Disabled","പ്രവർത്തനരഹിതമാക്കി"
"Edit Block","ബ്ലോക്ക് എഡിറ്റുചെയ്യുക"
"Enable WYSIWYG Editor","WYSIWYG എഡിറ്റർ പ്രവർത്തനക്ഷമമാക്കുക"
"Enabled","പ്രവർത്തനക്ഷമമാക്കി"
"General Information","പൊതുവിവരം"
"Go to Home Page","ഹോം പേജിലേയ്ക്ക് പോകുക"
"Home","ഹോം"
"ID","ഐഡി"
"Identifier","ഐഡന്റിഫയർ"
"If empty, the Page Title will be used","ശൂന്യമാണെങ്കിൽ, പേജ് ശീർഷകം ഉപയോഗിക്കും"
"Layout","ലേഔട്ട്"
"Layout Update XML","ലേഔട്ട് അപ്‌ഡേറ്റ് XML"
"Link to a CMS Page","ഒരു CMS പേജിലേക്ക് ലിങ്ക് ചെയ്യുക"
"Media Gallery","മീഡിയ ഗാലറി"
"Media Storage","മീഡിയ സ്റ്റോറേജ്"
"Meta Description","മെറ്റാ വിവരണം"
"Meta Keywords","മെറ്റാ കീവേഡുകൾ"
"New Block","പുതിയ ബ്ലോക്ക്"
"New Folder Name:","പുതിയ ഫോൾഡറിന്റെ പേര്:"
"Page Information","പേജ് വിവരങ്ങൾ"
"Page Title","പേജിന്റെ തലക്കെട്ട്"
"Redirect to CMS-page if Cookies are Disabled","കുക്കികൾ അപ്രാപ്‌തമാക്കിയിട്ടുണ്ടെങ്കിൽ CMS- പേജിലേക്ക് റീഡയറക്‌ടുചെയ്യുക"
"Save Page","പേജ് സേവ് ചെയുക"
"Select Block...","ബ്ലോക്ക് തിരഞ്ഞെടുക്കുക..."
"Select Page...","പേജ് തിരഞ്ഞെടുക്കുക..."
"Show Notice if JavaScript is Disabled","JavaScript അപ്രാപ്‌തമാക്കിയിട്ടുണ്ടെങ്കിൽ അറിയിപ്പ് കാണിക്കുക"
"Static Blocks","സ്റ്റാറ്റിക് ബ്ലോക്കുകൾ"
"Status","സ്റ്റാറ്റസ്"
"Storage Root","സ്റ്റോറേജ് റൂട്ട്"
"Store View","സ്റ്റോർ വ്യൂ"
"Template","ടെംപ്ലേറ്റ്"
"The page has been deleted.","പേജ് ഇല്ലാതാക്കി."
"This block no longer exists.","ഈ ബ്ലോക്ക് നിലവിലില്ല."
"Title","ശീർഷകം"
"URL Key","URL കീ"
"WYSIWYG Options","WYSIWYG ഓപ്ഷനുകൾ"
