"Add Option","Seçenek Ekle"
"Attempt to add an invalid object","Hatalı nesne eklenmeye çalışıldı"
"Attribute Code","Özellik Kodu"
"Attribute Label","Özellik Etiketi"
"Attribute Properties","Öznitelik Özellikleri"
"Attribute object is undefined","Özellik nesnesi tanımlanmadı"
"Attribute with the same code","Aynı koda sahip bir özellik zaten var"
"Catalog Input Type for Store Owner","Mağaza Sahibi için Katalog Giriş Türü"
"Data integrity: No header row found for attribute","Veri bütünlüğü: Bu özellik için başlık satırı bulunamadı"
"Date","Tarih"
"Decimal Number","Ondalıklı Sayı"
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Varsayılan Ürün Liste Sıralaması, Kullanılabilir Ürün Liste Sıralamasında bulunmamaktadır."
"Default Value","Varsayılan Değer"
"Default option value is not defined","Varsayılan seçenek değeri belirlenmedi"
"Delete","Sil"
"Dropdown","Açılır Menü"
"Email","E-posta"
"Entity is not initialized","Varlık başlatılamadı"
"Entity object is undefined","Varlık nesnesi tanımlanmamış"
"Form Element with the same attribute","Aynı özellikle Form Elemanı"
"Form Fieldset with the same code","Aynı kod ile Form Fieldset"
"Form Type with the same code","Aynı kod ile Form Tipi"
"Frontend label is not defined","Ön Sayfa başlığı belirlenmedi"
"Input Validation for Store Owner","Yöneticiler için Veri Giriş Kontrolü"
"Integer Number","Tamsayı"
"Invalid alias, already exists in joint attributes","Hatalı takma ad, aynı adda bir özellik zaten var"
"Invalid attribute name: %s","Hatalı özellik adı : %s"
"Invalid attribute requested: %s","Hatalı özellik istendi : %s"
"Invalid attribute type","Hatalı özellik tipi"
"Invalid character encountered in increment ID: %s","Otomatik artan sayaç verisinde hatalı karakter bulundu : %s"
"Invalid date","Hatalı tarih"
"Invalid entity specified","Hatalı varlık belirtildi"
"Invalid entity supplied: %s","Hatalı varlık verildi: %s"
"Invalid entity type","Hatalı varlık tipi"
"Invalid entity_type specified: %s","Hatalı varlık tipi (entity_type) belirtildi: %s"
"Invalid foreign key","Hatalı yabancı anahtar"
"Invalid joint fields","Hatalı birleştirilmiş alanlar"
"Invalid store specified","Hatalı mağaza seçimi"
"Joined field with this alias is already declared","Bu takma adla birleştirilen alan zaten var"
"Joint field or attribute expression with this alias is already declared","Bu takma adı ile ortak alan veya özellik ifadesi zaten var"
"Letters","Harf"
"Letters (a-z, A-Z) or Numbers (0-9)","Harfler (a-z, A-Z) veya Rakamlar (0-9)"
"Loaded %d records"," %d kayıt yüklendi"
"Multiple Select","Çoklu Seçim"
"No","Hayır"
"No options found in config node %s"," %s düğümü için seçenekler alınamadı"
"None","Hiçbiri"
"Not shared with other products","Diğer ürünlerle paylaşılmaz, 1 değer sadece 1 üründe kullanılabilir"
"Problem loading the collection, aborting. Error: %s","Liste okunurken hata oluştu, iptal ediliyor. Hata: %s"
"Problem saving the collection, aborting. Error: %s","Koleksiyon kaydedilirken hata oluştu, işlem iptal edildi. Hata : %s"
"Required","zorunlu"
"System","Sistem"
"Text Area","Yazı Alanı"
"Text Field","Yazı Kutusu"
"Unique Value","Eşsiz Değer"
"Unique Value (not shared with other products)","Eşsiz Değer (diğer ürünlerle paylaşılmasın)"
"Unknown parameter","Bilinmeyen parametre"
"Values Required","Girilmesi zorunlu değerler"
"Wrong attribute group ID","Hatalı özellik grup No"
"Wrong attribute set ID","Hatalı özellik seti No"
"Wrong entity ID","Hatalı varlık No"
"Yes","Evet"
"Yes/No","Evet/Hayır"
