"Alert Email Sender","Benachrichtigungs-E-Mail-Absender"
"Alert subscription has been saved.","Alarm-Abonnierung wurde gespeichert."
"Allow Alert When Product Comes Back in Stock","Erlaube Benachrichtigung wenn Artikel wieder verfügbar wird"
"Allow Alert When Product Price Changes","Erlaube Benachrichtigung wenn sich Artikelpreis ändert"
"Click here not to receive alerts for this product","Klicken Sie hier, um keine weiteren Benachrichtigungen für diesen Artikel zu erhalten"
"Error Email Recipient","Vorlage Fehler-E-Mail"
"Error Email Sender","Fehler-E-Mail-Absender"
"Error Email Template","Fehler-E-Mail-Vorlage"
"Frequency","Häufigkeit"
"Not enough parameters.","Nicht genügend Parameter."
"Price Alert Email Template","E-Mail-Vorlage Preisbenachrichtigung"
"Price:","Preis:"
"Product Alerts","Artikelbenachrichtigungen"
"Product Alerts Run Settings","Ausführungseinstellungen für Artikelbenachrichtigungen"
"Product alerts Cron error","Ausführungsfehler bei Artikelbenachrichtigungen"
"Product price alert","Preisbenachrichtigungen"
"Product stock alert","Verfügbarkeitsbenachrichtigung"
"Regular Price:","Regulärer Preis:"
"Sign up for price alert","Preisbenachrichtigung aktivieren"
"Sign up to get notified when this product is back in stock","Verfügbarkeitsbenachrichtigung aktivieren"
"Special price:","Sonderpreis:"
"Start Time","Startzeit"
"Stock Alert Email Template","E-Mail-Vorlage Verfügbarkeitsbenachrichtung"
"The alert subscription has been deleted.","Benachrichtigungswunsch wurde gelöscht."
"The alert subscription has been saved.","Benachrichtigungswunsch wurde gespeichert."
"The product is not found.","Artikel wurde nicht gefunden."
"The product was not found.","Das Produkt wurde nicht gefunden."
"Unable to update the alert subscription.","Das Alarm-Abo konnte nicht aktualisiert werden."
"Unsubscribe from all price alerts","Alle Preis-Benachrichtigungen abbestellen"
"Unsubscribe from all stock alerts","Alle Bestandsbenachrichtigungen abbestellen"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Sie erhalten diese Nachricht, da Sie die Verfügbarkeitsbenachrichtigung aktiviert haben. Die folgenden Artikel sind nun wieder für Sie verfügbar:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Sie erhalten diese Nachricht, da Sie die Preisbenachrichtigung aktiviert haben. Die folgenden Artikel haben sich im Preis geändert:"
"You will no longer receive price alerts for this product.","Sie erhalten künftig keine Preis-Alarme mehr für dieses Produkt."
"You will no longer receive stock alerts for this product.","Sie erhalten künftig keine Hinweise mehr zum Lagerbestand dieses Produkts."
"You will no longer receive stock alerts.","Sie erhalten künftig keine Hinweise mehr zum Lagerbestand."
