"* Required Fields","* જરૂરી માહિતી"
"Add All to Cart","કાર્ટમાં બધા ઉમેરો"
"Add to Cart","સૂચી માં સામેલ કરો"
"Add to Compare","સરખામણી કરો"
"Add to Wishlist","ઈચ્છા ની યાદ I માં ઉમેરવું"
"Back","પાછું"
"Cannot specify product.","ઉત્પાદનનો ઉલ્લેખ કરી શકાતો નથી."
"Click for price","ભાવ માટે ક્લિક કરો"
"Comment","ટિપ્પણી"
"Comment:","ટિપ્પણી:"
"Date Added","તારીખ ઉમેરી"
"Edit","સંપાદિત કરો"
"Email Sender","ઇમેઇલ પ્રેષક"
"Email Template","ઇમેઇલ ઢાંચો"
"Email addresses, separated by commas","ઇમેઇલ સરનામાંઓ, અલ્પવિરામથી વિભાજિત"
"Enabled","સક્ષમ"
"General Options","સામાન્ય વિકલ્પો"
"In stock","ઉપલબ્ધ છે"
"Last Added Items","છેલ્લે ઉમેરાયેલ આઇટમ્સ"
"Message","સંદેશ"
"Options Details","વિકલ્પો વિગતો"
"Out of stock","સ્ટોક સમાપ્ત"
"Price","કિંમત"
"Product","ઉત્પાદન"
"Product Details and Comment","ઉત્પાદન વિગતો અને ટિપ્પણી"
"Qty","ક્યુટી"
"RSS Feed","આરએસએસ ફીડ"
"Remove Item","આઇટમ દૂર કરો"
"Remove This Item","આ વસ્તુ દૂર કરો"
"Remove item","વસ્તુ દૂર કરો"
"SKU","એસકેયુ"
"Share Options","શેર વિકલ્પો"
"Sharing Information","શેરિંગ માહિતી"
"User Description","વપરાશકર્તા વર્ણન"
"View Details","વિગતો જુઓ"
"View Product","ઉત્પાદન જુઓ"
"What's this?","આ શું છે?"
