"Active","Aktif"
"Add Attribute Mapping","Özellik Eşleşmesi Ekle"
"Add New Attribute","Yeni Özellik Ekle"
"Add to Google Base","Google Base'e Ekle"
"Are you sure?","Emin misiniz?"
"Attribute","Özellik"
"Attribute Set","Özellik Seti"
"Attribute Set and Item Type","Özellik Seti ve Ürün Tipi"
"Attributes","Öznitelikler"
"Attributes Set","Özellik Seti"
"Available Products","Varolan Ürünler"
"Cannot update Google Base Item for Store '%s'","'%s' Mağazası için Google Base kaydı güncellenemedi"
"Captcha confirmation error: %s","Grafik onayı hatası : %s"
"Catalog","Katalog"
"Clicks","Tıklamalar"
"ClientLogin","İstemciGirişi"
"Confirm","Onayla"
"Current Mapping will be reloaded. Continue?","Varolan eşleşme yeniden yüklenecek. Devam edilsin mi ?"
"Custom attribute, no mapping","Özel özellik, eşleşme yok"
"Delete","Sil"
"Delete Mapping","Eşleşme Sil"
"Edit Item Type","Ürün Tipini Düzelt"
"Edit Item Type ""%s""","Ürün Tipini Düzelt ""%s"""
"Error: %s","Hata : %s"
"Expires","Bitiş"
"Google Base Attribute","Google Base Özelliği"
"Google Base ID","Google Base No"
"Google Base Item Type","Google Base Ürün Tipi"
"Google Base Item type","Google Base Ürün Tipi"
"Google Base Items","Google Base Ürünleri"
"Hide","Gizle"
"Impr.","Gör."
"Invalid Product Model for Google Base Item","Google Base Ürünü için Hatalı Ürün Modeli"
"Item Type was deleted","Ürün Tipi Silindi"
"Item Types","Ürün Tipleri"
"Items","Ürünler"
"Manage Attribute Mapping","Özellik Eşleşmelerini Yönet"
"Manage Attributes","Özellikleri Yönet"
"Manage Items","Ürünleri Yönet"
"New Item Type","Yeni Ürün Tipi"
"No","Hayır"
"No items were deleted from Google Base","Google Base'den ürün silinemedi"
"No items were published","Hiç ürün yayınlanmadı"
"No products were added to Google Base","Google Base'e hiç ürün eklenmedi"
"Please, select Attribute Set and Google Item Type to load attributes","Özellikleri yüklemek için Özellik Seti ve Google Ürün Tipi seçiniz"
"Product Name","Ürün Adı"
"Publish","Yayınla"
"Published","Yayınlandı"
"Remove","Kaldır"
"Save Mapping","Eşleşmeyi Kaydet"
"Synchronize","Eşitleme"
"Target Country","Hedef Ülke"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Bu işlem sonucunda ürün istatistikleri güncellenir, Google Base'de kaydı olmayan ürünler silinecek. Devam edilsin mi ?"
"Unable to connect to Google Base. Please, check Account settings in configuration.","Google Base'e bağlanılamadı. GoogleBase ayarlarını kontrol ediniz."
"View Available Products","Varolan Ürünleri Göster"
"View Item in Google Base","Google Base'deki Ürünleri Göster"
"Yes","Evet"
