"1 Day Freight","ارسال 1 روزه"
"2 Day","2 روز"
"2 Day AM","دو روز صبح"
"2 Day Freight","ارسال 2 روزه"
"2nd Day Air","هوایی روز دوم"
"2nd Day Air AM","هوایی صبح روز دوم"
"2nd Day Air AM Letter","مرسوله هوایی صبح روز دوم"
"2nd Day Air Letter","مرسوله هوایی روز دوم"
"3 Day Freight","ارسال 3 روزه"
"3 Day Select","3 روز را انتخاب کنید"
"Access ID","شناسه‌ دسترسی"
"Access License Number","شماره‌ی مجوز دسترسی"
"Account ID","شناسه‌ حساب کاربری"
"Account Number","شماره حساب"
"Adult","بزرگسال"
"Adult Signature Required","امضا بزرگسالان مورد نیاز است"
"Allowed Methods","روش‌ های مجاز"
"Break bulk express","شکستن اکسپرس فله"
"Business Service Center","مرکز خدمات تجاری"
"Calculate Handling Fee","محاسبه‌ هزینه‌ رسیدگی"
"Canada Standard","استاندارد کانادا"
"Cannot retrieve shipping rates","نمی‌توان نرخ‌های ارسال را بازیابی کرد"
"Centimeters","سانتی متر"
"Commercial","تجاری"
"Configuration","پیکربندی"
"Container","کانتینر"
"Customer Packaging","بسته بندی مشتری"
"Customer Supplied Package","ضوابط عرضه بسته بندی"
"DHL service is not available at %s date","سرویس DHL در تاریخ %s موجود نیست"
"Debug","اشکال زدايي کردن"
"Delivery Confirmation","تاييد تحويل"
"Depth","عمق"
"Destination Type","نوع مقصد"
"Development","گسترش"
"Direct","مستقیم"
"Displayed Error Message","پیغام خطای نمایش داده شده"
"Divide Order Weight","تقسیم وزن سفارش"
"Documents","اسناد"
"Domestic economy select","انتخاب اقتصاد داخلی"
"Domestic express","اکسپرس داخلی"
"Drop Box","صندوق پستی"
"Dropoff","تحویل"
"Easy shop","خرید آسان"
"Economy select","انتخاب اقتصاد"
"Empty response","پاسخ خالی"
"Enable Negotiated Rates","نرخ‌های مذاکره‌ای ممکن"
"Enabled for Checkout","فعال جهت پرداخت نهایی"
"Europack","بسته یورو"
"Europe First Priority","اولین اولویت اروپا"
"Express 10:30","اکسپرس 10:30"
"Express 12:00","اکسپرس 12:00"
"Express 9:00","اکسپرس 9:00"
"Express easy","اکسپرس آسان"
"Express envelope","پاکت اکسپرس"
"Express worldwide","اکسپرس در سراسر جهان"
"FedEx 10kg Box","جعبه 10 کیلویی FedEx"
"FedEx 25kg Box","جعبه 25 کیلویی FedEx"
"First-Class Mail International Large Envelope","صندوق پستی بین المللی بزرگ بزرگ پاکت نامه"
"First-Class Mail International Letter","کلاس اول پست نامه های بین المللی"
"First-Class Mail International Postcard","پست کلاس اول کارت پستال"
"First-Class Mail Large Envelope","پاکت بزرگ پستی کلاس اول"
"First-Class Mail Large Postcards","کارت پستال های بزرگ کلاس اول"
"First-Class Mail Letter","نامه پست کلاس اول"
"First-Class Mail Postcards","کارت پستال پست کلاس اول"
"First-Class Package International Service","خدمات بسته بین المللی در سطح بین المللی"
"First-Class Package Service","سرویس بسته اول کلاس"
"First-Class Package Service - Retail","سرویس بسته کلاس اول - خرده فروشی"
"First-Class Package Service Hold For Pickup","خدمات بسته بندی کلاس اول برای پیکربندی نگه دارید"
"Flat","یکنواخت"
"Flat-Rate Envelope","نرخ یکنواخت پاکت"
"Free Method","روش رایگان"
"Freight","ارسال"
"Freight worldwide","ارسال در سراسر جهان"
"Gateway URL","URL گذرگاه"
"Gateway XML URL","XML URL گذرگاه"
"Gift","هدیه"
"Girth","ابعاد"
"Global Express Guaranteed (GXG)","گلوبال اکسپرس تضمین شده (GXG)"
"Global Express Guaranteed Document","گلوبال اکسپرس سند تضمین شده"
"Global Express Guaranteed Non-Document Non-Rectangular","گلوبال اکسپرس تضمین شده سند مستطیلی"
"Global Express Guaranteed Non-Document Rectangular","گلوبال اکسپرس تضمین شده سند غیر مستطیلی"
"Globalmail business","کسب و کار الکترونیکی جهانی"
"Ground","زمین"
"Ground Commercial","زمینی تجاری"
"Ground Residential","زمینی محلی"
"Handling Applied","رسیدگی اعمال شد"
"Handling Fee","هزینه رسیدگی"
"Height","ارتفاع"
"Home Delivery","تحویل درب منزل"
"Hub ID","شناسه Hub"
"Inches","اینچ"
"Indirect","غیر مستقیم"
"Jetline","خط جت"
"Jumbo box","جعبه های بزرگ"
"Key","کليد"
"Kilograms","کیلوگرم"
"Large","بزرگ"
"Large Express Box","جعبه اکسپرس بزرگ"
"Length","طول"
"Letter","نامه"
"Live","زنده"
"Machinable","ماشینیبل"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","حداکثر وزن بسته (لطفا برای پشتیبانی در زمینه حداکثر وزن بسته ارسالی، با سرویس ارسالی انتخابی خود مشورت نمایید)"
"Medical express","اکسپرس پزشکی"
"Medium Express Box","بسته اكسپرس متوسط"
"Merchandise","کالا"
"Meter Number","شماره متر"
"Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)","کمینه وزن بسته (لطفا برای کمینه وزن ارسال پشتبانی شده با سرویس حمل ارسال‌ها مشورت نمایید)"
"Mode","حالت"
"National Freight","ارسال ملی"
"Next Day Air","روز بعد هوایی"
"Next Day Air Early AM","روز بعد هوایی ابتدای صبح"
"Next Day Air Early AM Letter","روز بعد هوایی ابتدای صبح نامه"
"Next Day Air Intra (Puerto Rico)","روز بعد هوایی داخلی (پرتو ریکو)"
"Next Day Air Letter","روز بعد هوایی نامه"
"Next Day Air Saver","روز بعد هوایی سیور"
"Next Day Air Saver Letter","روز بعد هوایی سیور نامه"
"No","خیر"
"No packages for request","بسته ای برای درخواست وجود ندارد"
"Non Documents","اسناد غیر"
"Non documents","اسناد غیر"
"Non-rectangular","نامستطیلی"
"None","هیچ یک"
"Not Required","الزامی نیست"
"Order","سفارش"
"Origin of the Shipment","مبدا محموله"
"Other","دیگر"
"Others","دیگران"
"PAK","بسته"
"Package","بسته"
"Packages Request Type","نوع درخواست بسته ها"
"Packaging","بسته بندی"
"Pallet","پالت"
"Parcel","بسته"
"Password","کلمه عبور"
"Pickup Method","روش پیکاپ"
"Please make sure to use only digits here. No dashes are allowed.","لطفا اطمینان حاصل نمایید که در اینجا تنها از ارقام استفاده می کنید. خط فاصله‌ ها مجاز نیستند."
"Pounds","پوند"
"Priority Mail","اولویت پستی"
"Priority Mail Express","اولویت ایمیل اکسپرس"
"Priority Mail Express Flat Rate Envelope","پاکسازی پهنای باند ایمیل اولویت"
"Priority Mail Express Flat Rate Envelope Hold For Pickup","پست اکسپرس انتظار پاکت نرخ ثابتی برای وانت"
"Priority Mail Express Hold For Pickup","پست اکسپرس انتظار برای وانت"
"Priority Mail Express International","اولویت ایمیل اکسپرس بین المللی"
"Priority Mail Express International Flat Rate Envelope","پست پیشتاز اکسپرس پاکت نامه بین المللی"
"Priority Mail Express International Legal Flat Rate Envelope","پست پیشتاز اکسپرس بسته حق بیمه حقوقی بین المللی"
"Priority Mail Express International Padded Flat Rate Envelope","پست پیشتاز پاکت پهنای باند ثابت بین المللی"
"Priority Mail Express Legal Flat Rate Envelope","پست پیشتاز اکسپرس حق امتیاز مسکن"
"Priority Mail Express Legal Flat Rate Envelope Hold For Pickup","پست پیشتاز اکسپرس بسته ی حقوقی Flat Rate برای پیکربندی نگه دارید"
"Priority Mail Express Padded Flat Rate Envelope","پست پیشتاز اکسپرس پاکت تخت پلاستیکی"
"Priority Mail Express Padded Flat Rate Envelope Hold For Pickup","پست پیشتاز پاکت تخت پهن شده برای نگه دارنده نگه دارید"
"Priority Mail Express Sunday/Holiday Delivery","اولویت ایمیل اکسپرس یکشنبه / تعطیلات تحویل"
