"Actions","Ações"
"Are you sure?","Você tem certeza?"
"Date Added","Data de inclusão"
"Last Update","Última atualização"
"Mark as Read","Marcar como Lido"
"Mark as read","Marcar como lido"
"Message","Mensagem"
"Messages Inbox","Caixa de Entrada de Mensagens"
"Notifications","Notificações"
"Please select messages.","Por favor, selecione as mensagens."
"Read Details","Ler Detalhes"
"Remove","Remover"
"Severity","Gravidade"
"Show List","Exibir Lista"
"Show Toolbar","Mostrar Barra de Ferramentas"
"The message has been removed.","A mensagem foi removida."
"Update Frequency","Frequência de atualização"
"Use HTTPS to Get Feed","Use HTTPS para Obter o Feed"
"Wrong message type","Tipo de mensagem incorreto"
"critical","crítico"
"major","importante"
"minor","secundário"
"notice","aviso"
