"Actions","İşlemler"
"Add Answer","Cevap Ekle"
"Add New Answer","Yeni Cevap Ekle"
"Add New Poll","Anket Ekle"
"Answer Title","Cevap Başlığı"
"Answer Title:","Cevap Başlığı :"
"Answer with the same title in this poll","Bu ankette aynı başlıkla kaydedilmiş bir cevap var"
"Are you sure you want to delete it?","Silmek istediğinizden emin misiniz ?"
"Assigned Answers","Bağlı cevaplar"
"Closed","Kapatıldı"
"Community Poll","Topluluk Anketi"
"Date Closed","Kapandığı Tarih"
"Date Posted","Gönderildiği Tarih"
"Delete","Sil"
"Delete Answer","Cevabı Sil"
"Delete Poll","Anketi Sil"
"Edit Answer '%s'","Cevabı Düzenle : '%s'"
"Edit Poll '%s'","Anketi Düzenle '%s'"
"Edit Poll Answer","Anket Cevabını Düzenle"
"ID","No"
"New Poll","Yeni Anket"
"Number of Responses","Cevap Sayısı"
"Open","Açık"
"Poll Answers","Anket Cevapları"
"Poll Information","Anket Bilgisi"
"Poll Manager","Anket Yönetimi"
"Poll Question","Anket Sorusu"
"Poll information","Anket Bilgisi"
"Poll with the same question","Aynı soruyla başka bir anket var"
"Polls","Anketler"
"Save Answer","Cevabı Kaydet"
"Save Poll","Anketi Kaydet"
"Status","Durum"
"Visible In","Görüneceği Yer"
"Vote","Oy Ver"
"Votes Count","Toplam Oy Sayısı"
"Votes Count:","Toplam Oy Sayısı:"
