"Actions","Toiminnot"
"Active","Aktiivinen"
"Add New Rule","Lisää uusi sääntö"
"Alphanumeric","Aakkosnumeerinen"
"Apply","Käytä"
"Apply To","Ota käyttöön"
"Apply the rule only if the following conditions are met (leave blank for all products)","Ota sääntö käyttöön vain jos seuraavat ehdot täyttyvät (jätä tyhjäksi kaikille tuotteille)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Ota sääntö käyttöön vain ostoskorin tuotteille jotka täyttävät seuraavat ehdot (jätä tyhjäksi kaikille tuotteille)"
"Apply the rule to cart items matching the following conditions","Ota sääntö käyttöön ostoskorin tuotteille jotka täyttävät seuraavat ehdot"
"Are you sure you want to delete the selected coupon(s)?","Oletko varma että haluat poistaa valitu(n/t) alennuskoodi(n/t)?"
"Auto","Autom."
"Buy X get Y free (discount amount is Y)","Osta X, saat Y:n ilmaiseksi (alennuksen määrä on Y)"
"By Fixed value","Kiinteällä arvolla"
"By Percentage","Prosentilla"
"Cart Attribute","Ostoskorin ominaisuus"
"Catalog","Katalogi"
"Code Length","Koodin pituus"
"Code Prefix","Koodin etuliite"
"Code Suffix","Koodin jälkiliite"
"Conditions","Ehdot"
"Conditions combination","Ehtojen yhdistelmä"
"Coupon","Alennuskoodi"
"Coupon Code","Alennuskoodi"
"Coupon Qty","Kuponkien määrä"
"Created On","Luotu"
"Customer Groups","Asiakasryhmät"
"Date Expire","Eräpäivä"
"Date Start","Alkamispäivä"
"Default Label","Oletusselite"
"Description","Kuvaus"
"Discount Amount","Alennuksen määrä"
"Discount Qty Step (Buy X)","Määräalennukseen oikeuttavan myyntierän koko"
"Edit Rule","Muokkaa sääntöä"
"Edit Rule '%s'","Muokkaa Sääntöä '%s'"
"Excluding prefix, suffix and separators.","Ilman etuliitettä, loppuliitettä ja erottimia."
"Fixed amount discount","Kiinteä alennus"
"Fixed amount discount for whole cart","Kiinteä alennus koko ostoskorille"
"For matching items only","Vain yhteensopiville tuotteille"
"For shipment with matching items","Lähetykselle jossa osuvia tuotteita (?)"
"Free Shipping","Ilmainen toimitus"
"From Date","Päivämäärästä"
"General Information","Yleistä"
"Generate","Luo"
"ID","Tunnus"
"Inactive","Ei käytössä"
"Manage Coupon Codes","Hallinnoi alennuskoodeja"
"NOT LOGGED IN","EI KIRJAUTUNEENA SISÄÄN"
"New Rule","Uusi sääntö"
"No","Ei"
"No Coupon","Ei alennuskoodia"
"Number of Uses","Käyttökertojen määrä"
"Numeric","Numeerinen"
"Payment Method","Maksutapa"
"Percent of product price discount","Prosenttiosuus tuotteen hinnasta -alennus"
"Period","Aikaväli"
"Price in cart","Hinta ostoskorissa"
"Priority","Prioriteetti"
"Product attribute combination","Tuotteen ominaisuuksien yhdistelmä"
"Promotions","Myynninedistäminen"
"Public In RSS Feed","Julkinen RSS-syötteessä"
"Quantity in cart","Määrä ostoskorissa"
"Row total in cart","Rivien määrä ostoskorissa"
"Rule Information","Säännön tiedot"
"Rule Name","Säännön nimi"
"Save and Continue Edit","Tallenna ja jatka muokkaamista"
"Shipping Country","Lähetysmaa"
"Shipping Method","Toimitustapa"
"Shipping Postcode","Lähetyksen postinumero"
"Shipping Region","Lähetyksen alue"
"Shipping State/Province","Lähetyksen osavaltio / provinssi"
"Shopping Cart Price Rule","Ostoskorin hintasääntö"
"Shopping Cart Price Rules","Ostoskorin hintasäännöt"
"Special Price","Tarjoushinta"
"Specific Coupon","Määritetty kuponkikoodi"
"Status","Tila"
"Subtotal","Välisumma"
"Subtotal Amount","Välisumma"
"This rule no longer exists.","Tätä sääntöä ei ole enää olemassa."
"To Date","Päivämäärään"
"To Fixed Value","Kiinteään arvoon"
"To Percentage","Prosenttiin asti"
"Total","Yhteensä"
"Total Amount","Kokonaissumma"
"Total Items Quantity","Tuotteiden kokonaismäärä"
"Total Weight","Kokonaispaino"
"Update prices using the following information","Päivitä hinnat käyttäen seuraavia tietoja"
"Update product's %s %s: %s","Päivitä tuotteen %s %s: %s"
"Update the Product","Päivitä tuote"
"Use Auto Generation","Käytä automaattista luontia"
"Used","Käytetty"
"Uses per Customer","Käyttömäärä per asiakas"
"Website","Sivusto"
"Websites","Sivustot"
"Yes","Kyllä"
"total quantity","kokonaismäärä"
