"Action","Operacja"
"Are you sure you want to delete the selected backup(s)?","Czy na pewno chcesz usunąć wybraną kopię bezpieczeństwa?"
"Backups","Kopia zapasowa"
"Create Backup","Wykonaj kopię"
"Database","Baza danych"
"Database Backup","Kopia bazy danych"
"Database and Media","Baza danych i media"
"Database and Media Backup","Kopia bazy danych i mediów"
"Database was successfuly backed up.","Baza danych została pomyślnie skopiowana."
"Download","Pobierz"
"Enable Scheduled Backup","Włącz zaplanowaną kopię"
"Frequency","Częstotliwość"
"Maintenance Mode","Tryb remontowy"
"Name","Nazwa"
"Rollback","Przywracanie"
"Start Time","Czas rozpoczęcia"
"System (excluding Media)","System (z wyłączeniem Media)"
"System Backup","Kopia systemu"
"Time","Czas"
"Type","Rodzaj"
"Unable to create backup. Please, try again later.","Nie można utworzyć kopii. Proszę spróbować później."
