"# of Use","# đã sử dụng"
"%1$s incl tax.","%1$s Bao gồm thuế."
"%s Item(s)","%s Mục"
"(Copy data from: %s)","(Copy dữ liệu từ: %s)"
"* Required Fields","* Bắt buộc"
"-- Please Select --","-- Vui lòng chọn --"
"A group with the same name already exists.","Một nhóm có cùng tên đã tồn tại."
"A name is required","Yêu cầu nhập tên"
"A product type is not defined for the indexer.","Một loại sản phẩm không phải xác định cho các indexer."
"ALL GROUPS","TẤT CẢ CÁC NHÓM"
"AM","Sáng"
"Action","Thao tác"
"Actual Price","Giá thực tế"
"Add","Thêm"
"Add Attribute","Thêm thuộc tính"
"Add Design Change","Thêm thay đổi thiết kế"
"Add Group","Thêm nhóm"
"Add New","Thêm sản phẩm mới"
"Add New Attribute","Thêm thuộc tính"
"Add New Attribute Set","Thêm thiết lập thuộc tính mới"
"Add New Group","Thêm nhóm mới"
"Add New Images","Lưu hình ảnh mới"
"Add New Option","Thêm lựa chọn mới"
"Add New Row","Thêm hàng mới"
"Add New Search Term","Thêm cụm từ tìm kiếm mới"
"Add New Set","Thêm Nhóm Mới"
"Add Product","Thêm sản phẩm"
"Add Product To Websites","Thêm sản phẩm vào trang web"
"Add Root Category","Thêm danh mục gốc"
"Add Subcategory","Thêm nhóm nhỏ"
"Add Tax","Thêm thuế"
"Add to Cart","Thêm vào giỏ hàng"
"Add to Compare","Thêm vào so sánh"
"Add to Wishlist","Thêm vào danh sách yêu thích"
"Additional Information","Thông Tin Thêm"
"All","Tất Cả"
"All Product Types","Tất cả các loại sản phẩm"
"All Websites","Tất cả trang Web"
"All products","Tất cả sản phẩm"
"All products - recently added products, New products - products marked as new","Tất cả sản phẩm - mới thêm vào sản phẩm, sản phẩm mới - sản phẩm được đánh dấu như mới"
"Allow All Products per Page","Cho phép tất cả các sản phẩm mỗi trang"
"Allowed File Extensions","Những Loại File Được Chấp Nhận"
"Allowed file extensions to upload","Những Loại File Được Chấp Nhận"
"Amount","Số lượng"
"Anchor Custom Text","Anchor văn bản tuỳ chỉnh"
"Anchor Custom Title","Tiêu đề tùy chỉnh Anchor"
"Apply To","Áp dụng cho"
"Approved","Chấp thuận"
"Are you sure you want to delete this category?","Bạn có chắc chắn muốn xoá danh mục này?"
"Are you sure you would like to remove all products from your comparison?","Bạn có chắc muốn xóa toàn bộ sản phẩm khỏi danh sách so sánh không?"
"Are you sure you would like to remove this item from the compare products?","Bạn có chắc muốn xóa toàn bộ sản phẩm khỏi danh sách so sánh không?"
"Are you sure?","Bạn chắc chứ?"
"Assign","Chỉ định"
"Assign product link","Gán link Của Sản Phẩm"
"Assign product to category","Gán sản phẩm Vào danh mục"
"Assigned Products","Sản phẩm đã chọn"
"Associated Products","Sản phẩm liên kết"
"Attrib. Set Name","Tên nhóm thuộc tính"
"Attribute Information","Thông tin Thuộc tính"
"Attribute Model","Thuộc tính kiểu"
"Attribute Set","Thiết lập thuộc tính"
"Attribute Sets","Thiết lập thuộc tính"
"Attributes","Thuộc tính"
"Availability:","Tính sẵn có:"
"Back","Trở lại"
"Backend Model","Mô hình Backend"
"Backorders","Đơn hàng tồn đọng"
"Based On","Dựa trên"
"Before Order Confirmation","Trước khi xác nhận đặt hàng"
"Block after Info Column","Khối sau cột thông tin"
"Bottom/Left","Dưới cùng, bên trái"
"Bottom/Right","Dưới cùng, bên phải"
"Bundle Items","Sản phẩm kết hợp"
