"Alert Email Sender","Benachrichtigungs-E-Mail-Absender"
"Alert subscription has been saved.","Alarm-Abonnierung wurde gespeichert."
"Allow Alert When Product Comes Back in Stock","Erlaube Benachrichtigung wenn Artikel wieder verfügbar wird"
"Allow Alert When Product Price Changes","Erlaube Benachrichtigung wenn sich Artikelpreis ändert"
"Error Email Recipient","Vorlage Fehler-E-Mail"
"Error Email Sender","Fehler-E-Mail-Absender"
"Error Email Template","Fehler-E-Mail-Vorlage"
"Frequency","Häufigkeit"
"Price Alert Email Template","E-Mail-Vorlage Preisbenachrichtigung"
"Price:","Preis:"
"Product Alerts","Artikelbenachrichtigungen"
"Product Alerts Run Settings","Ausführungseinstellungen für Artikelbenachrichtigungen"
"Product alerts Cron error","Ausführungsfehler bei Artikelbenachrichtigungen"
"Start Time","Startzeit"
"Stock Alert Email Template","E-Mail-Vorlage Verfügbarkeitsbenachrichtung"
"The product was not found.","Das Produkt wurde nicht gefunden."
"Unable to update the alert subscription.","Das Alarm-Abo konnte nicht aktualisiert werden."
"Unsubscribe from all price alerts","Alle Preis-Benachrichtigungen abbestellen"
"Unsubscribe from all stock alerts","Alle Bestandsbenachrichtigungen abbestellen"
"You will no longer receive price alerts for this product.","Sie erhalten künftig keine Preis-Alarme mehr für dieses Produkt."
"You will no longer receive stock alerts for this product.","Sie erhalten künftig keine Hinweise mehr zum Lagerbestand dieses Produkts."
"You will no longer receive stock alerts.","Sie erhalten künftig keine Hinweise mehr zum Lagerbestand."
