"%s's Wishlist","Lista de deseos %s"
"* Required Fields","* Campos obligatorios"
"Add All to Cart","Añadir todo al carrito"
"Add to Cart","Añadir al carrito"
"Add to Compare","Añadir para comparar"
"Add to Wishlist","Añadir a la lista de deseos"
"Added From","Agregado desde"
"Are you sure you want to remove this product from your wishlist?","¿Confirma que desea eliminar el producto de su Lista de Deseos?"
"Are you sure you would like to remove this item from the wishlist?","¿Confirma que desea eliminar el artículo de su Lista de Deseos?"
"Back","Atrás"
"Can't save description %s","No es posible guardar la descripción %s"
"Cannot specify product.","No se pudo especificar artículo."
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Haga clic en la casilla de verificación si desea agregar una liga a una fuente RSS a su Lista de Deseos"
"Click for price","Haga click para ver precio"
"Comment","Comentario"
"Comment:","Comentarios:"
"Date Added","Fecha Añadido"
"Days in Wishlist","Días en Lista de Deseos"
"Edit","Editar"
"Email Sender","Remitente de correo electrónico"
"Email Template","Plantilla de email"
"Email address can't be empty.","No puede dejar vacio el correo electrónico."
"Email addresses, separated by commas","Direcciones de correo electrónico, separadas por comas"
"Enabled","Habilitado"
"General Options","Opciones generales"
"Go to Wishlist","Ir a Lista de Deseos"
"In stock","Disponible"
"Last Added Items","Últimos elementos añadidos"
"Message","mensaje"
"My Wishlist","Mi Lista de Deseos"
"My Wishlist (%d item)","Mi Lista de Deseos (%d Artículo)"
"My Wishlist (%d items)","Mi Lista de Deseos (%d Artículos)"
"Options Details","Detalles de las opciones"
"Out of stock","No está disponible"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Por favor escriba direcciones de correo electrónico válidas y separadas por coma. Ej. juanito@dominio.com,juanperez@dominio.com"
"Please, enter your comments...","Por favor, escriba sus comentarios..."
"Price","Precio"
"Product","Producto"
"Product Details and Comment","Detalles del artículo y comentarios"
"Qty","Cant"
"RSS Feed","Fuente RSS"
"RSS link to %s's wishlist","Liga al RSS de la Lista de Deseos de %s"
"Remove Item","Eliminar elemento"
"Remove This Item","Eliminar este artículo"
"Remove item","Eliminar artículo"
"SKU","Unidad de mantenimiento de existencias (SKU)"
"Share Options","Opciones para compartir"
"Share Wishlist","Compartir Lista de Deseos"
"Share Your Wishlist","Comparta su Lista de Deseos"
"Sharing Information","Compartiendo información"
"Update Wishlist","Actualizar Lista de Deseos"
"User Description","Descripción del usuario"
"View Details","Mostrar detalles"
"View Product","Vista del artículo"
"What's this?","¿Qué es esto?"
"Wishlist","Lista de deseos"
"Wishlist Section","Sección de Lista de Deseos"
"Wishlist Sharing","Compartiendo Lista de Deseos"
"Wishlist is empty now.","Lista de deseos vacía"
"You have no items in your wishlist.","No tiene artículos en su Lista de Deseos."
