" Copy"," Kopiera"
"Action","Åtgärd"
"Add New Template","Lägg till ny mall"
"Back","Tillbaka"
"Cancel","Avbryt"
"Cancelled","Avbruten"
"Convert to Plain Text","Konvertera till oformaterad Text"
"Customer","Kund"
"Customer First Name","Kundens Förnamn"
"Customer Last Name","Kundens efternamn"
"Date Added","Tillagd datum"
"Delete","Ta bort"
"Delete Selected Problems","Ta bort markerade problem"
"Delete Template","Ta bort mallen"
"Do you really want to cancel the queue?","Vill du verkligen avbryta kön?"
"Edit Newsletter","Redigera nyhetsbrev"
"Edit Newsletter Template","Redigera mall för nyhetsbrev"
"Edit Template","Redigera mall"
"Email","E-post"
"Enter your email address","Ange din e-postadress"
"Guest","Gäst"
"Message","Meddelande"
"New Newsletter Template","Ny nyhetsbrevsmall"
"New Template","Ny mall"
"Newsletter","Nyhetsbrev"
"Newsletter Styles","Nyhetsbrev stilar"
"Newsletter Subscription","Prenumerera på nyhetsbrev"
"Newsletter Subscriptions","Prenumerationer på nyhetsbrev"
"Newsletter Templates","Nyhetsbrev mallar"
"No Templates Found","Inga mallar hittade"
"Not Sent","Inte skickat"
"Pause","Pausa"
"Paused","Pausad"
"Please enter a valid email address.","Vänligen ange en giltig e-postadress."
"Preview","Förhandsgranska"
"Preview Template","Förhandsgranska mall"
"Queue Date Start","Startdatum för kön"
"Queue Information","Köinformation"
"Reset","Återställ"
"Resume","Återuppta"
"Return HTML Version","Returnera HTML-versionen"
"Save As","Spara som"
"Save Newsletter","Spara nyhetsbrev"
"Save Template","Spara mall"
"Save and Resume","Spara och återuppta"
"Sender","Avsändare"
"Sender Email","Avsändares e-post"
"Sender Name","Avsändarens namn"
"Sending","Skickar"
"Sent","Skickat"
"Start","Starta"
"Store","Butik"
"Store View","Butiksvy"
"Subject","Ämne"
"Submit","Skicka"
"Subscribe","Prenumerera"
"Subscribers From","Prenummeranter från"
"Subscription Options","Prenumerationsval"
"Template Content","Mallinnehåll"
"Template Information","Information om mallar"
"Template Name","Mallens namn"
"Template Styles","Mallstilar"
"Template Subject","Mall ämne"
"Template Type","Malltyp"
"Type","Typ"
"Unsubscribe Selected","Avprenumeration Vald"
"View Newsletter","Visa nyhetsbrev"
"Website","Webbplats"
