"Add","Добавить"
"Add New Row","Добавить новую строку"
"An error occurred while saving the file(s).","При сохранении файла(ов) произошла ошибка."
"Availability:","Наличие:"
"Back","Назад"
"Canceled","Отменен"
"Category API","API категорий"
"Date","Дата"
"Default Link Title","Заголовок ссылки по умолчанию"
"Default Maximum Number of Downloads","Максимально количество загрузок по умолчанию"
"Default Sample Title","Заголовок образца по умолчанию"
"Delete","Удалить"
"Downloadable Information","Загружаемая информация"
"Downloadable Product","Цифровой товар"
"Downloadable Product Options","Параметры цифрового товара"
"Edit","Редактировать"
"Edit item parameters","Изменить параметры позиции"
"Excl. Tax","Без налога"
"File","Файл"
"From:","От:"
"Gift Message","Подарочное сообщение"
"Go to <a href=""%s"">My Downloadable Products</a>","Перейти на страницу <a href=""%s"">Мои цифровые товары</a>"
"In stock","В наличии"
"Incl. Tax","Включая налог"
"Invoiced","Выставлен счет"
"Links can be purchased separately","Ссылки могут быть приобретены отдельно"
"List","Список"
"Max. Downloads","Макс. Загрузки"
"Message:","Сообщение:"
"Move","Переместить"
"My Downloadable Products","Мои цифровые товары"
"Open Links in New Window","Открывать ссылки в новом окне"
"Order #","Заказ #"
"Ordered","Заказано"
"Out of stock","Нет в наличии"
"Pending","В очереди"
"Please log in to download your product.","Войдите, чтобы скачать ваш товар."
"Please specify product link(s).","Укажите ссылку(и) на товар."
"Price","Цена"
"Qty","Кол-во"
"Refunded","Возвращено"
"Remaining Downloads","Оставшиеся загрузки"
"Remove","Удалить"
"Remove Item","Удалить элемент"
"SKU","Артикул"
"Sample","Пример"
"See price before order confirmation.","Посмотреть цену до подтверждения заказа."
"Shareable","Публичный"
"Shipped","Отправлено"
"Sort Order","Порядок Сортировки"
"Start Download","Начать скачивание"
"Status","Статус"
"Subtotal","Промежуточный итог"
"The link is not available.","Ссылка не доступна."
"Title","Заголовок"
"To:","Кому:"
"Unlimited","Неограничено"
"Update","Обновить"
"Use Default Value","Использовать значение по умолчанию"
"View Order","Просмотреть заказ"
"What's this?","Что это?"
"You have not purchased any downloadable products yet.","Вы еще не приобрели любой загружаемый продукт."
"attachment","вложение"
"download","скачать"
"inline","построчно"
"sample","пример"
