"Actions","Acties"
"Are you sure?","Weet u het zeker?"
"Date Added","Datum toegevoegd"
"Last Update","Laatste wijziging"
"Mark as Read","Markeren als gelezen"
"Mark as read","Markeren als gelezen"
"Message","Bericht"
"Messages Inbox","Berichteninbox"
"Notifications","Meldingen"
"Please select messages.","Selecteer de meldingen."
"Read Details","Lees details"
"Remove","Verwijder"
"Severity","Ernst"
"Show List","Lijst tonen"
"Show Toolbar","Werkbalk weergeven"
"The message has been removed.","De notificatie is verwijderd"
"Update Frequency","Update-frequentie"
"Use HTTPS to Get Feed","Gebruik HTTPS om de feed op te halen"
"Wrong message type","Verkeerde bericht-type"
"critical","kritisch"
"major","belangrijk"
"minor","gering"
"notice","melding"
