"Add","添加"
"Add New Role","添加新角色"
"Address Type","地址类型"
"Admin","管理员"
"Allow","允许"
"Assigned","分配"
"Attribute Set","属性集"
"Attributes","属性管理"
"Automatically Return Credit Memo Item to Stock","自动返回到股票的信用备忘项目"
"Back","返回"
"Backorders","延期交货"
"Base Currency","基础货币"
"Catalog","目录"
"Category ID","类别 ID"
"City","城市"
"Company","地址"
"Country","国家"
"Coupon Code","优惠劵"
"Create","创建"
"Create Permanent Redirect for old URL","为旧网址创建永久重定向"
"Customer","客户"
"Customer Address","客户地址"
"Customer First Name","客户姓氏"
"Customer ID","客户 ID"
"Customer Last Name","客户姓氏"
"Delete","删除"
"Deny","否认"
"Discount","折扣"
"Discount Amount","折扣金额"
"Edit","编辑"
"Edit Role","编辑角色"
"Email","邮箱"
"Enable Qty Increments","启用数量增量"
"Exclude","排除"
"File Name","文件名"
"First Name","名"
"Gift Message","礼品消息"
"Grand Total","总额"
"Group","分组"
"Guest","访客"
"ID","编号ID"
"Label","标签"
"Last Name","姓"
"Manage Stock","数量增加"
"Maximum Qty Allowed in Shopping Cart","购物车中允许的最大数量"
"Minimum Qty Allowed in Shopping Cart","购物车中允许的最小数量"
"New Role","新建角色"
"Notify for Quantity Below","数量通知如下"
"Order","订单"
"Order Comments","订单的评论"
"Order Date","订单日期"
"Order ID","订单 ID"
"Order Status","订单状态"
"Orders","订单"
"Original Price","原价"
"Payment Method","支付方式"
"Phone Number","电话号码"
"Placed from IP","从 IP 放"
"Position","位置"
"Price","价格"
"Product","产品"
"Product ID","产品 ID"
"Product Type","商品类型"
"Qty","数量"
"Qty Increments","数量的增量"
"Qty Uses Decimals","数量使用小数"
"Role Info","角色信息"
"Role Information","角色信息"
"Role Name","角色名称："
"Role Users","角色用户"
"Roles","角色"
"SKU","商品编号SKU"
"Sales","销售"
"Save","保存"
"Shipping Amount","航运量"
"Shipping Method","运送方式"
"State","状态"
"Stock Availability","库存"
"Stock Status","现货库存状态"
"Store Name","店铺名称"
"Subtotal","小计"
"System","系统"
"Tax Amount","税额"
"Tax Percent","纳税百分比"
"Tax Rate","税率"
"Total Due","应付款总额"
"Total Paid","付款总额"
"Total Refunded","退款总计"
"Type","类型"
"URL","网址"
"Update","更新"
"Web Services","网站服务（Web Services）"
"Web services","网站服务（Web Services）"
"ZIP/Postal Code","邮编"
